model_name,TP (Kas_Gearty_no_cut)_rk,FP (Kas_Gearty_no_cut)_rk,TN (Kas_Gearty_no_cut)_rk,FN (Kas_Gearty_no_cut)_rk,accuracy (Kas_Gearty_no_cut)_rk,precision (Kas_Gearty_no_cut)_rk,recall (Kas_Gearty_no_cut)_rk,specificity (Kas_Gearty_no_cut)_rk,f1_score (Kas_Gearty_no_cut)_rk,b_accuracy (Kas_Gearty_no_cut)_rk,AUC_value_inf (Kas_Gearty_no_cut)_rk,AUC_value_trn (Kas_Gearty_no_cut)_rk,mcc (Kas_Gearty_no_cut)_rk,log_loss (Kas_Gearty_no_cut)_rk,kappa (Kas_Gearty_no_cut)_rk,fall_out (Kas_Gearty_no_cut)_rk,miss_rate (Kas_Gearty_no_cut)_rk,NPV (Kas_Gearty_no_cut)_rk,lr_plus (Kas_Gearty_no_cut)_rk,lr_minus (Kas_Gearty_no_cut)_rk
IGRP_WF_46_Mc_dist,41.0,87.0,10.0,56.0,1.0,6.0,41.0,10.0,1.0,1.0,22.0,1.0,1.0,89.0,1.0,87.0,56.0,4.0,6.0,93.0
IGRP_WF_47_Mc_dist,9.0,19.0,78.0,88.0,28.0,75.0,9.0,78.0,17.0,28.0,60.0,1.0,40.0,24.0,28.0,19.0,88.0,9.0,75.0,88.0
IGRP_WF_48_Mc_dist,51.0,82.0,15.0,46.0,3.0,8.0,51.0,15.0,11.0,3.0,21.0,83.0,3.0,72.0,3.0,82.0,46.0,33.0,8.0,64.0
IGRP_WF_49_Mc_dist,7.0,31.0,66.0,90.0,11.0,64.0,7.0,66.0,2.0,11.0,39.0,70.0,19.0,49.0,11.0,31.0,90.0,1.0,64.0,96.0
IGRP_WF_50_Mc_dist,50.0,69.0,28.0,47.0,6.0,22.0,50.0,28.0,23.0,6.0,25.0,54.0,5.0,91.0,6.0,69.0,47.0,39.0,22.0,58.0
IGRP_WF_51_Mc_dist,35.0,9.0,88.0,62.0,63.0,88.0,35.0,88.0,51.0,63.0,76.0,39.0,77.0,5.0,63.0,9.0,62.0,49.0,88.0,48.0
IGRP_WF_52_Mc_dist,26.0,42.0,55.0,71.0,14.0,47.0,26.0,55.0,16.0,14.0,10.0,51.0,16.0,67.0,14.0,42.0,71.0,21.0,47.0,76.0
IGRP_WF_53_Mc_dist,32.0,33.0,64.0,65.0,26.0,61.0,32.0,64.0,32.0,27.0,63.0,58.0,30.0,63.0,27.0,33.0,65.0,34.0,61.0,63.0
IGRP_WF_54_Mc_dist,69.0,85.0,12.0,28.0,42.0,10.0,69.0,12.0,62.0,42.0,41.0,59.0,23.0,95.0,42.0,85.0,28.0,62.0,10.0,35.0
IGRP_WF_55_Mc_dist,62.0,22.0,75.0,35.0,86.0,86.0,62.0,75.0,77.0,86.0,80.0,48.0,90.0,32.0,86.0,22.0,35.0,76.0,86.0,21.0
IGRP_WF_56_Mc_dist,68.0,84.0,13.0,29.0,43.0,11.0,68.0,13.0,61.0,43.0,31.0,43.0,25.0,86.0,43.0,84.0,29.0,61.0,11.0,36.0
IGRP_WF_57_Mc_dist,43.0,37.0,60.0,54.0,35.0,59.0,43.0,60.0,43.0,35.0,17.0,79.0,34.0,62.0,35.0,37.0,54.0,42.0,59.0,55.0
IGRP_WF_58_Mc_dist,34.0,49.0,48.0,63.0,15.0,41.0,34.0,48.0,21.0,15.0,34.0,65.0,14.0,60.0,15.0,49.0,63.0,27.0,41.0,70.0
IGRP_WF_59_Mc_dist,28.0,16.0,81.0,69.0,53.0,79.0,28.0,81.0,45.0,51.0,83.0,47.0,61.0,13.0,51.0,16.0,69.0,43.0,79.0,54.0
IGRP_WF_60_Mc_dist,31.0,53.0,44.0,66.0,7.0,37.0,31.0,44.0,7.0,7.0,1.0,79.0,7.0,87.0,7.0,53.0,66.0,16.0,37.0,81.0
IGRP_WF_61_Mc_dist,15.0,34.0,63.0,82.0,8.0,58.0,15.0,63.0,4.0,8.0,29.0,59.0,11.0,68.0,8.0,34.0,82.0,2.0,58.0,95.0
IGRP_WF_62_Mc_dist,73.0,90.0,7.0,24.0,51.0,5.0,73.0,7.0,67.0,52.0,33.0,48.0,22.0,94.0,52.0,90.0,24.0,68.0,5.0,29.0
IGRP_WF_63_Mc_dist,57.0,14.0,83.0,40.0,85.0,91.0,57.0,83.0,71.0,85.0,81.0,42.0,89.0,38.0,85.0,14.0,40.0,67.0,91.0,30.0
IGRP_WF_64_Mc_dist,80.0,79.0,17.0,17.0,69.0,19.0,80.0,17.0,76.0,70.0,12.0,39.0,50.0,88.0,70.0,79.0,17.0,77.0,19.0,20.0
IGRP_WF_65_Mc_dist,53.0,32.0,65.0,44.0,60.0,67.0,53.0,65.0,55.0,60.0,77.0,1.0,65.0,20.0,60.0,32.0,44.0,54.0,67.0,43.0
IGRP_WF_66_Mc_dist,89.0,63.0,34.0,8.0,87.0,36.0,89.0,34.0,89.0,87.0,96.0,1.0,87.0,22.0,87.0,63.0,8.0,89.0,36.0,8.0
IGRP_WF_67_Mc_dist,19.0,10.0,87.0,78.0,54.0,84.0,19.0,87.0,44.0,54.0,64.0,1.0,66.0,7.0,54.0,10.0,78.0,40.0,84.0,57.0
IGRP_WF_68_Mc_dist,59.0,35.0,62.0,38.0,72.0,65.0,59.0,62.0,64.0,72.0,88.0,1.0,76.0,16.0,72.0,35.0,38.0,63.0,65.0,34.0
IGRP_WF_69_Mc_dist,58.0,50.0,47.0,39.0,61.0,50.0,58.0,47.0,59.0,61.0,26.0,1.0,59.0,58.0,61.0,50.0,39.0,59.0,50.0,38.0
IGRP_WF_70_Mc_dist,93.0,93.0,4.0,4.0,92.0,16.0,93.0,4.0,93.0,92.0,89.0,1.0,92.0,4.0,92.0,93.0,4.0,93.0,16.0,4.0
IGRP_WF_71_Mc_dist,38.0,57.0,40.0,59.0,10.0,35.0,38.0,40.0,18.0,10.0,43.0,1.0,8.0,54.0,10.0,57.0,59.0,26.0,35.0,71.0
IGRP_WF_72_Mc_dist,72.0,81.0,16.0,25.0,57.0,18.0,72.0,16.0,65.0,58.0,28.0,1.0,36.0,36.0,58.0,81.0,25.0,66.0,18.0,31.0
IGRP_WF_73_Mc_dist,48.0,15.0,82.0,49.0,71.0,85.0,48.0,82.0,56.0,71.0,59.0,1.0,84.0,18.0,71.0,15.0,49.0,53.0,85.0,44.0
IGRP_WF_74_Mc_dist,76.0,61.0,36.0,21.0,82.0,42.0,76.0,36.0,85.0,82.0,57.0,90.0,85.0,34.0,82.0,61.0,21.0,84.0,42.0,13.0
IGRP_WF_75_Mc_dist,3.0,4.0,93.0,94.0,46.0,93.0,3.0,93.0,31.0,46.0,37.0,86.0,67.0,10.0,46.0,4.0,94.0,14.0,93.0,83.0
IGRP_WF_76_Mc_dist,64.0,59.0,38.0,33.0,67.0,40.0,64.0,38.0,66.0,67.0,36.0,96.0,62.0,79.0,67.0,59.0,33.0,65.0,40.0,32.0
IGRP_WF_77_Mc_dist,52.0,48.0,49.0,45.0,40.0,57.0,52.0,49.0,50.0,41.0,48.0,81.0,46.0,39.0,40.0,48.0,45.0,51.0,57.0,46.0
IGRP_WF_78_Mc_dist,92.0,79.0,17.0,5.0,93.0,62.0,92.0,17.0,92.0,93.0,94.0,1.0,94.0,28.0,93.0,79.0,5.0,92.0,62.0,5.0
IGRP_WF_79_Mc_dist,36.0,43.0,54.0,61.0,21.0,51.0,36.0,54.0,29.0,21.0,5.0,1.0,24.0,78.0,21.0,43.0,61.0,35.0,51.0,62.0
IGRP_WF_80_Mc_dist,65.0,70.0,27.0,32.0,49.0,25.0,65.0,27.0,60.0,49.0,68.0,69.0,31.0,27.0,49.0,70.0,32.0,60.0,25.0,37.0
IGRP_WF_81_Mc_dist,44.0,30.0,67.0,53.0,48.0,68.0,44.0,67.0,48.0,47.0,84.0,68.0,55.0,45.0,48.0,30.0,53.0,48.0,68.0,49.0
IGRP_WF_82_Mc_dist,87.0,66.0,31.0,10.0,83.0,29.0,87.0,31.0,86.0,83.0,18.0,48.0,78.0,80.0,83.0,66.0,10.0,86.0,29.0,11.0
IGRP_WF_83_Mc_dist,22.0,21.0,76.0,75.0,39.0,77.0,22.0,76.0,37.0,39.0,9.0,61.0,52.0,52.0,39.0,21.0,75.0,36.0,77.0,61.0
IGRP_WF_84_Mc_dist,82.0,68.0,29.0,15.0,81.0,28.0,82.0,29.0,84.0,81.0,72.0,51.0,70.0,48.0,81.0,68.0,15.0,85.0,28.0,12.0
IGRP_WF_85_Mc_dist,70.0,75.0,22.0,27.0,55.0,20.0,70.0,22.0,63.0,56.0,23.0,1.0,35.0,66.0,55.0,75.0,27.0,64.0,20.0,33.0
IGRP_WF_86_Mc_dist,95.0,96.0,1.0,2.0,95.0,2.0,95.0,1.0,95.0,95.0,52.0,1.0,93.0,17.0,95.0,96.0,2.0,95.0,2.0,2.0
IGRP_WF_87_Mc_dist,29.0,41.0,56.0,67.0,16.0,49.0,29.0,56.0,20.0,16.0,24.0,1.0,20.0,81.0,16.0,41.0,67.0,25.0,49.0,72.0
IGRP_WF_88_Mc_dist,90.0,94.0,3.0,7.0,89.0,1.0,90.0,3.0,90.0,89.0,42.0,38.0,69.0,41.0,89.0,94.0,7.0,90.0,1.0,7.0
IGRP_WF_89_Mc_dist,16.0,23.0,74.0,80.0,30.0,72.0,16.0,74.0,24.0,31.0,56.0,85.0,41.0,25.0,31.0,23.0,80.0,17.0,72.0,80.0
IGRP_WF_90_Mc_dist,84.0,78.0,19.0,13.0,76.0,21.0,84.0,19.0,80.0,76.0,8.0,1.0,56.0,93.0,76.0,78.0,13.0,81.0,21.0,16.0
IGRP_WF_91_Mc_dist,18.0,27.0,70.0,79.0,33.0,70.0,18.0,70.0,27.0,32.0,14.0,56.0,39.0,37.0,32.0,27.0,79.0,22.0,70.0,75.0
IGRP_WF_92_Mc_dist,88.0,65.0,32.0,9.0,84.0,32.0,88.0,32.0,87.0,84.0,95.0,54.0,82.0,42.0,84.0,65.0,9.0,87.0,32.0,10.0
IGRP_WF_93_Mc_dist,56.0,56.0,41.0,41.0,44.0,38.0,56.0,41.0,54.0,45.0,2.0,56.0,44.0,90.0,44.0,56.0,41.0,55.0,38.0,42.0
IGRP_WF_94_Mc_dist,96.0,95.0,2.0,1.0,96.0,7.0,96.0,2.0,96.0,96.0,53.0,1.0,95.0,26.0,96.0,95.0,1.0,96.0,7.0,1.0
IGRP_WF_95_Mc_dist,20.0,45.0,52.0,77.0,9.0,44.0,20.0,52.0,6.0,9.0,20.0,39.0,10.0,83.0,9.0,45.0,77.0,13.0,44.0,84.0
IGRP_WF_96_Mc_dist,81.0,91.0,6.0,16.0,52.0,3.0,81.0,6.0,68.0,53.0,16.0,53.0,17.0,69.0,53.0,91.0,16.0,71.0,3.0,26.0
