model_name,TP (Kas_Gearty_no_cut)_rk,FP (Kas_Gearty_no_cut)_rk,TN (Kas_Gearty_no_cut)_rk,FN (Kas_Gearty_no_cut)_rk,accuracy (Kas_Gearty_no_cut)_rk,precision (Kas_Gearty_no_cut)_rk,recall (Kas_Gearty_no_cut)_rk,specificity (Kas_Gearty_no_cut)_rk,f1_score (Kas_Gearty_no_cut)_rk,b_accuracy (Kas_Gearty_no_cut)_rk,AUC_value_inf (Kas_Gearty_no_cut)_rk,AUC_value_trn (Kas_Gearty_no_cut)_rk,mcc (Kas_Gearty_no_cut)_rk,log_loss (Kas_Gearty_no_cut)_rk,kappa (Kas_Gearty_no_cut)_rk,fall_out (Kas_Gearty_no_cut)_rk,miss_rate (Kas_Gearty_no_cut)_rk,NPV (Kas_Gearty_no_cut)_rk,lr_plus (Kas_Gearty_no_cut)_rk,lr_minus (Kas_Gearty_no_cut)_rk
IGRP_WF_1_Kf_dist,5.0,3.0,94.0,92.0,56.0,94.0,5.0,94.0,38.0,55.0,62.0,1.0,71.0,2.0,56.0,3.0,92.0,23.0,94.0,74.0
IGRP_WF_2_Kf_dist,55.0,67.0,30.0,42.0,19.0,24.0,55.0,30.0,46.0,20.0,58.0,72.0,9.0,77.0,19.0,67.0,42.0,50.0,24.0,47.0
IGRP_WF_3_Kf_dist,42.0,8.0,89.0,55.0,70.0,90.0,42.0,89.0,53.0,69.0,44.0,1.0,86.0,19.0,69.0,8.0,55.0,52.0,90.0,45.0
IGRP_WF_4_Kf_dist,46.0,51.0,46.0,51.0,25.0,39.0,46.0,46.0,42.0,25.0,61.0,72.0,26.0,40.0,25.0,51.0,51.0,44.0,39.0,53.0
IGRP_WF_5_Kf_dist,16.0,12.0,85.0,80.0,41.0,81.0,16.0,85.0,35.0,40.0,51.0,1.0,57.0,33.0,41.0,12.0,80.0,28.0,81.0,69.0
IGRP_WF_6_Kf_dist,45.0,74.0,23.0,52.0,2.0,12.0,45.0,23.0,5.0,2.0,15.0,1.0,2.0,84.0,2.0,74.0,52.0,24.0,12.0,73.0
IGRP_WF_7_Kf_dist,2.0,1.0,96.0,95.0,58.0,96.0,2.0,96.0,36.0,57.0,67.0,1.0,75.0,30.0,57.0,1.0,95.0,19.0,96.0,78.0
IGRP_WF_8_Kf_dist,74.0,72.0,25.0,23.0,68.0,26.0,74.0,25.0,74.0,68.0,87.0,87.0,54.0,47.0,68.0,72.0,23.0,75.0,26.0,22.0
IGRP_WF_9_Kf_dist,1.0,2.0,95.0,96.0,45.0,95.0,1.0,95.0,25.0,44.0,75.0,87.0,68.0,8.0,45.0,2.0,96.0,3.0,95.0,94.0
IGRP_WF_10_Kf_dist,33.0,44.0,53.0,64.0,18.0,48.0,33.0,53.0,26.0,18.0,79.0,72.0,21.0,44.0,18.0,44.0,64.0,29.0,48.0,68.0
IGRP_WF_11_Kf_dist,66.0,26.0,71.0,31.0,90.0,82.0,66.0,71.0,82.0,90.0,92.0,61.0,91.0,29.0,90.0,26.0,31.0,80.0,82.0,17.0
IGRP_WF_12_Kf_dist,75.0,64.0,33.0,22.0,77.0,30.0,75.0,33.0,79.0,77.0,35.0,72.0,63.0,56.0,77.0,64.0,22.0,78.0,30.0,19.0
IGRP_WF_13_Kf_dist,25.0,55.0,42.0,72.0,5.0,34.0,25.0,42.0,3.0,5.0,4.0,91.0,6.0,96.0,5.0,55.0,72.0,7.0,34.0,90.0
IGRP_WF_14_Kf_dist,86.0,88.0,9.0,11.0,73.0,9.0,86.0,9.0,83.0,73.0,70.0,72.0,49.0,73.0,73.0,88.0,11.0,83.0,9.0,14.0
IGRP_WF_15_Kf_dist,40.0,36.0,61.0,57.0,34.0,60.0,40.0,61.0,40.0,33.0,40.0,1.0,32.0,74.0,34.0,36.0,57.0,41.0,60.0,56.0
IGRP_WF_16_Kf_dist,67.0,54.0,43.0,30.0,75.0,45.0,67.0,43.0,70.0,75.0,69.0,61.0,74.0,61.0,75.0,54.0,30.0,70.0,45.0,27.0
IGRP_WF_17_Kf_dist,29.0,11.0,86.0,67.0,59.0,87.0,29.0,86.0,47.0,59.0,85.0,1.0,73.0,1.0,59.0,11.0,67.0,47.0,87.0,50.0
IGRP_WF_18_Kf_dist,79.0,71.0,26.0,18.0,74.0,27.0,79.0,26.0,78.0,74.0,49.0,87.0,58.0,92.0,74.0,71.0,18.0,79.0,27.0,18.0
IGRP_WF_19_Kf_dist,37.0,40.0,57.0,60.0,22.0,53.0,37.0,57.0,30.0,22.0,54.0,1.0,27.0,46.0,22.0,40.0,60.0,37.0,53.0,60.0
IGRP_WF_20_Kf_dist,85.0,58.0,39.0,12.0,88.0,56.0,85.0,39.0,88.0,88.0,86.0,1.0,88.0,12.0,88.0,58.0,12.0,88.0,56.0,9.0
IGRP_WF_21_Kf_dist,54.0,29.0,68.0,43.0,65.0,71.0,54.0,68.0,57.0,65.0,90.0,1.0,72.0,23.0,65.0,29.0,43.0,57.0,71.0,40.0
IGRP_WF_22_Kf_dist,91.0,92.0,5.0,6.0,91.0,4.0,91.0,5.0,91.0,91.0,45.0,72.0,83.0,31.0,91.0,92.0,6.0,91.0,4.0,6.0
IGRP_WF_23_Kf_dist,77.0,83.0,14.0,19.0,66.0,17.0,77.0,14.0,73.0,66.0,55.0,84.0,47.0,53.0,66.0,83.0,19.0,73.0,17.0,24.0
IGRP_WF_24_Kf_dist,77.0,86.0,11.0,19.0,64.0,13.0,77.0,11.0,72.0,64.0,71.0,1.0,45.0,9.0,64.0,86.0,19.0,72.0,13.0,25.0
IGRP_WF_25_Kf_dist,11.0,13.0,84.0,86.0,38.0,80.0,11.0,84.0,28.0,38.0,13.0,91.0,51.0,21.0,38.0,13.0,86.0,20.0,80.0,77.0
IGRP_WF_26_Kf_dist,60.0,62.0,35.0,37.0,47.0,31.0,60.0,35.0,58.0,48.0,7.0,91.0,37.0,75.0,47.0,62.0,37.0,58.0,31.0,39.0
IGRP_WF_27_Kf_dist,24.0,5.0,92.0,73.0,62.0,92.0,24.0,92.0,49.0,62.0,73.0,91.0,80.0,3.0,62.0,5.0,73.0,46.0,92.0,51.0
IGRP_WF_28_Kf_dist,71.0,52.0,45.0,26.0,80.0,52.0,71.0,45.0,75.0,80.0,65.0,61.0,79.0,35.0,80.0,52.0,26.0,74.0,52.0,23.0
IGRP_WF_29_Kf_dist,63.0,46.0,51.0,34.0,79.0,63.0,63.0,51.0,69.0,79.0,93.0,1.0,81.0,15.0,79.0,46.0,34.0,69.0,63.0,28.0
IGRP_WF_30_Kf_dist,94.0,89.0,8.0,3.0,94.0,46.0,94.0,8.0,94.0,94.0,91.0,72.0,96.0,11.0,94.0,89.0,3.0,94.0,46.0,3.0
IGRP_WF_31_Kf_dist,12.0,28.0,69.0,84.0,17.0,66.0,12.0,69.0,8.0,17.0,19.0,1.0,29.0,65.0,17.0,28.0,84.0,5.0,66.0,92.0
IGRP_WF_32_Kf_dist,83.0,76.0,21.0,14.0,78.0,23.0,83.0,21.0,81.0,78.0,6.0,1.0,60.0,55.0,78.0,76.0,14.0,82.0,23.0,15.0
IGRP_WF_33_Mc_dist,12.0,25.0,72.0,84.0,23.0,69.0,12.0,72.0,15.0,23.0,47.0,71.0,33.0,51.0,23.0,25.0,84.0,11.0,69.0,86.0
IGRP_WF_34_Mc_dist,49.0,60.0,37.0,48.0,20.0,33.0,49.0,37.0,39.0,19.0,27.0,95.0,18.0,71.0,20.0,60.0,48.0,45.0,33.0,52.0
IGRP_WF_35_Mc_dist,14.0,6.0,91.0,83.0,50.0,89.0,14.0,91.0,41.0,50.0,82.0,46.0,64.0,6.0,50.0,6.0,83.0,30.0,89.0,67.0
IGRP_WF_36_Mc_dist,27.0,47.0,50.0,70.0,12.0,43.0,27.0,50.0,12.0,12.0,11.0,1.0,13.0,50.0,12.0,47.0,70.0,18.0,43.0,79.0
IGRP_WF_37_Mc_dist,4.0,7.0,90.0,93.0,37.0,83.0,4.0,90.0,22.0,36.0,50.0,1.0,53.0,43.0,36.0,7.0,93.0,10.0,83.0,87.0
IGRP_WF_38_Mc_dist,61.0,77.0,20.0,36.0,32.0,14.0,61.0,20.0,52.0,34.0,74.0,1.0,12.0,82.0,33.0,77.0,36.0,56.0,14.0,41.0
IGRP_WF_39_Mc_dist,8.0,20.0,77.0,89.0,26.0,74.0,8.0,77.0,13.0,26.0,66.0,45.0,38.0,64.0,26.0,20.0,89.0,8.0,74.0,89.0
IGRP_WF_40_Mc_dist,47.0,73.0,24.0,50.0,4.0,15.0,47.0,24.0,9.0,4.0,30.0,1.0,4.0,85.0,4.0,73.0,50.0,31.0,15.0,66.0
IGRP_WF_41_Mc_dist,21.0,24.0,73.0,76.0,36.0,73.0,21.0,73.0,34.0,37.0,3.0,67.0,48.0,76.0,37.0,24.0,76.0,32.0,73.0,65.0
IGRP_WF_42_Mc_dist,39.0,39.0,58.0,58.0,23.0,55.0,39.0,58.0,33.0,24.0,32.0,66.0,28.0,70.0,24.0,39.0,58.0,38.0,55.0,59.0
IGRP_WF_43_Mc_dist,10.0,18.0,79.0,87.0,30.0,76.0,10.0,79.0,19.0,30.0,78.0,1.0,43.0,14.0,30.0,18.0,87.0,12.0,76.0,85.0
IGRP_WF_44_Mc_dist,23.0,38.0,59.0,74.0,13.0,54.0,23.0,59.0,10.0,13.0,46.0,44.0,15.0,57.0,13.0,38.0,74.0,15.0,54.0,82.0
IGRP_WF_45_Mc_dist,6.0,17.0,80.0,91.0,29.0,78.0,6.0,80.0,14.0,29.0,38.0,81.0,42.0,59.0,29.0,17.0,91.0,6.0,78.0,91.0
