model name,TP,FP,TN,FN,accuracy,precision,recall,specificity,F1 score,F0.5 score,F0.75 score,b accuracy,AUC value inf,AUC value trn,mcc,log loss,kappa,fall out,miss rate,NPV,lr plus,lr minus,t90_bld_igg,nseq_bld_igg,t90_bld_pd1,nseq_bld_pd1,t90_bld_spt,nseq_bld_spt,t90_pln_igg,nseq_pln_igg,t90_pln_pd1,nseq_pln_pd1,t90_pln_spt,nseq_pln_spt,t90_panc_igg,nseq_panc_igg,t90_panc_pd1,nseq_panc_pd1,t90_panc_spt,nseq_panc_spt
IGRP_WF_1_Kf_tp8,7151,689,13312,6718,0.734230355,0.912117347,0.515610354,0.9507892290000001,0.658805104,0.7905326229999999,0.7143542140000001,0.7331997920000001,0.802250562,1.0,0.518634914,0.714461221,0.46735729299999995,0.04921077099999999,0.484389646,0.664603095,10.47759153,0.509460594,0.06927710843373494,664,0.052486187845303865,724,0.11013215859030837,681,0.03540519276160504,1271,0.06363636363636363,220,0.06217882836587873,1946,0.0943952802359882,1356,0.09798534798534798,1092,0.2234891676168757,1754
IGRP_WF_2_Kf_tp8,5292,305,13696,8577,0.681306064,0.945506521,0.381570409,0.978215842,0.543717251,0.7297901090000001,0.617148615,0.679893125,0.8029378290000001,0.92,0.449034441,0.6030032160000001,0.36080067,0.021784157999999998,0.6184295910000001,0.614914919,17.51595834,0.63220157,0.015060240963855422,664,0.03038674033149171,724,0.023494860499265784,681,0.004720692368214005,1271,0.031818181818181815,220,0.0328879753340185,1946,0.0029498525073746312,1356,0.07326007326007326,1092,0.11060433295324971,1754
IGRP_WF_3_Kf_tp8,7079,776,13225,6790,0.7285252959999999,0.9012094209999999,0.51041892,0.944575387,0.651721598,0.7815363559999999,0.706484206,0.727497154,0.806458552,1.0,0.5056583379999999,0.6706560220000001,0.45592626799999997,0.055424613,0.48958108,0.660754434,9.209246517,0.518308106,0.06475903614457831,664,0.06629834254143646,724,0.1130690161527166,681,0.03855232100708104,1271,0.09090909090909091,220,0.06217882836587873,1946,0.09808259587020648,1356,0.08882783882783883,1092,0.22690992018244013,1754
IGRP_WF_4_Kf_tp8,7239,451,13550,6630,0.7459275209999999,0.9413524059999999,0.52195544,0.967788015,0.671552484,0.811019741,0.7301471390000001,0.744871728,0.80233554,0.92,0.54783149,0.647496886,0.490774173,0.032211985,0.47804456,0.6714568879999999,16.20376523,0.49395585799999997,0.03765060240963856,664,0.04143646408839779,724,0.0763582966226138,681,0.00944138473642801,1271,0.05,220,0.047790339157245634,1946,0.07374631268436578,1356,0.07875457875457875,1092,0.20410490307867732,1754
IGRP_WF_5_Kf_tp8,7096,642,13359,6773,0.733943308,0.917032825,0.511644675,0.954146132,0.6568241770000001,0.7915932259999999,0.713512905,0.7328954040000001,0.805475371,1.0,0.520038135,0.654474961,0.466763483,0.045853868,0.488355325,0.663570435,11.15815747,0.511824456,0.058734939759036146,664,0.055248618784530384,724,0.11013215859030837,681,0.040912667191188044,1271,0.07272727272727272,220,0.05601233299075026,1946,0.084070796460177,1356,0.09157509157509157,1092,0.21949828962371723,1754
IGRP_WF_6_Kf_tp8,6357,201,13800,7512,0.723250807,0.969350412,0.458360372,0.9856438829999999,0.6224115139999999,0.792623625,0.6917331520000001,0.722002127,0.8109334420000001,1.0,0.52334903,0.598555139,0.44511032899999997,0.014356117,0.541639628,0.647522523,31.92787845,0.549528727,0.01957831325301205,664,0.03729281767955801,724,0.05873715124816446,681,0.003933910306845004,1271,0.03636363636363636,220,0.03597122302158273,1946,0.004424778761061947,1356,0.07692307692307693,1092,0.15678449258836943,1754
IGRP_WF_7_Kf_tp8,6980,630,13371,6889,0.730211697,0.917214192,0.503280698,0.9550032140000001,0.649937148,0.787650365,0.7076782070000001,0.729141956,0.801134272,1.0,0.51430964,0.65929729,0.459260934,0.044996786,0.49671930200000003,0.659970385,11.18481437,0.520123173,0.060240963855421686,664,0.05386740331491713,724,0.09691629955947137,681,0.013375295043273014,1271,0.09090909090909091,220,0.0565262076053443,1946,0.08997050147492626,1356,0.10164835164835165,1092,0.22462941847206386,1754
IGRP_WF_8_Kf_tp8,5013,137,13864,8856,0.677323287,0.973398058,0.36145360200000004,0.990214985,0.5271570529999999,0.727175143,0.60478909,0.675834293,0.7953078029999999,0.84,0.45303097700000006,0.633669223,0.352713857,0.009785015,0.638546398,0.6102112679999999,36.93950274,0.6448563279999999,0.010542168674698794,664,0.026243093922651933,724,0.048458149779735685,681,0.0015735641227380016,1271,0.01818181818181818,220,0.03134635149023638,1946,0.06637168141592921,1356,0.06684981684981685,1092,0.1402508551881414,1754
IGRP_WF_9_Kf_tp8,7052,976,13025,6817,0.720380337,0.878425511,0.5084721320000001,0.9302906940000001,0.6441064989999999,0.7668384770000001,0.696097825,0.719381413,0.799956295,0.84,0.48443501,0.70084857,0.439635636,0.069709306,0.491527868,0.656435843,7.294178607999999,0.528359438,0.06626506024096386,664,0.055248618784530384,724,0.11160058737151249,681,0.03461841070023604,1271,0.08181818181818182,220,0.06526207605344296,1946,0.09365781710914454,1356,0.10073260073260074,1092,0.23261117445838084,1754
IGRP_WF_10_Kf_tp8,7618,580,13421,6251,0.75489774,0.929251037,0.5492825729999999,0.9585743879999999,0.690442743,0.81631341,0.7439772809999999,0.75392848,0.798811444,0.92,0.557269528,0.642356545,0.508837756,0.041425612,0.450717427,0.682238715,13.259491899999999,0.47019556700000004,0.043674698795180725,664,0.04696132596685083,724,0.07048458149779736,681,0.00865460267505901,1271,0.06363636363636363,220,0.04933196300102775,1946,0.10693215339233038,1356,0.08791208791208792,1092,0.17388825541619157,1754
