model_name,t50_panc_igg,t60_panc_igg,t70_panc_igg,t80_panc_igg,t90_panc_igg,nseq_panc_igg
IGRP_WF_10_Kf_dist,0.35914454277286134,0.3407079646017699,0.14970501474926254,0.12831858407079647,0.10693215339233038,1356
IGRP_WF_11_Kf_dist,0.36283185840707965,0.1696165191740413,0.14380530973451328,0.11356932153392331,0.09070796460176991,1356
IGRP_WF_12_Kf_dist,0.3414454277286136,0.32079646017699115,0.2935103244837758,0.10471976401179942,0.06784660766961652,1356
IGRP_WF_13_Kf_dist,0.2182890855457227,0.17404129793510326,0.12536873156342182,0.10914454277286136,0.004424778761061947,1356
IGRP_WF_14_Kf_dist,0.1541297935103245,0.09513274336283185,0.07964601769911504,0.06858407079646017,0.003687315634218289,1356
IGRP_WF_15_Kf_dist,0.3864306784660767,0.19616519174041297,0.1710914454277286,0.10545722713864307,0.07669616519174041,1356
IGRP_WF_16_Kf_dist,0.21755162241887904,0.18805309734513273,0.11430678466076696,0.08185840707964602,0.0058997050147492625,1356
IGRP_WF_17_Kf_dist,0.42330383480825956,0.38569321533923306,0.35914454277286134,0.30973451327433627,0.28244837758112096,1356
IGRP_WF_18_Kf_dist,0.33185840707964603,0.3200589970501475,0.2883480825958702,0.11061946902654868,0.007374631268436578,1356
IGRP_WF_19_Kf_dist,0.39011799410029496,0.334070796460177,0.3023598820058997,0.11504424778761062,0.10766961651917405,1356
IGRP_WF_1_Kf_dist,0.2721238938053097,0.23525073746312683,0.18436578171091444,0.1415929203539823,0.0943952802359882,1356
IGRP_WF_20_Kf_dist,0.3502949852507375,0.33112094395280234,0.13053097345132744,0.1084070796460177,0.005162241887905605,1356
IGRP_WF_21_Kf_dist,0.3997050147492625,0.3480825958702065,0.15117994100294985,0.10250737463126844,0.0803834808259587,1356
IGRP_WF_22_Kf_dist,0.16002949852507375,0.10766961651917405,0.08112094395280237,0.06932153392330384,0.0014749262536873156,1356
IGRP_WF_23_Kf_dist,0.17699115044247787,0.1467551622418879,0.12463126843657817,0.06784660766961652,0.0022123893805309734,1356
IGRP_WF_24_Kf_dist,0.14380530973451328,0.12536873156342182,0.11430678466076696,0.06784660766961652,0.06563421828908554,1356
IGRP_WF_25_Kf_dist,0.415929203539823,0.37389380530973454,0.3480825958702065,0.1430678466076696,0.1290560471976401,1356
IGRP_WF_26_Kf_dist,0.18289085545722714,0.1710914454277286,0.1467551622418879,0.11356932153392331,0.10398230088495575,1356
IGRP_WF_27_Kf_dist,0.4218289085545723,0.38569321533923306,0.34587020648967554,0.14454277286135694,0.08997050147492626,1356
IGRP_WF_28_Kf_dist,0.18952802359882007,0.16887905604719763,0.13716814159292035,0.12979351032448377,0.10988200589970501,1356
IGRP_WF_29_Kf_dist,0.362094395280236,0.336283185840708,0.14233038348082597,0.08849557522123894,0.06858407079646017,1356
IGRP_WF_2_Kf_dist,0.32964601769911506,0.14233038348082597,0.12168141592920353,0.0715339233038348,0.0029498525073746312,1356
IGRP_WF_30_Kf_dist,0.13569321533923304,0.1084070796460177,0.07743362831858407,0.06932153392330384,0.06637168141592921,1356
IGRP_WF_31_Kf_dist,0.415929203539823,0.37315634218289084,0.32890855457227136,0.10398230088495575,0.07448377581120944,1356
IGRP_WF_32_Kf_dist,0.14896755162241887,0.1275811209439528,0.11061946902654868,0.10176991150442478,0.06489675516224189,1356
IGRP_WF_33_Mc_dist,0.3915929203539823,0.3665191740412979,0.16445427728613568,0.1364306784660767,0.07890855457227139,1356
IGRP_WF_34_Mc_dist,0.3525073746312684,0.3355457227138643,0.12979351032448377,0.10693215339233038,0.06710914454277286,1356
