model_name,TP (Kas_Gearty_no_cut),FP (Kas_Gearty_no_cut),TN (Kas_Gearty_no_cut),FN (Kas_Gearty_no_cut),accuracy (Kas_Gearty_no_cut),precision (Kas_Gearty_no_cut),recall (Kas_Gearty_no_cut),specificity (Kas_Gearty_no_cut),f1_score (Kas_Gearty_no_cut),b_accuracy (Kas_Gearty_no_cut),AUC_value_inf (Kas_Gearty_no_cut),AUC_value_trn (Kas_Gearty_no_cut),mcc (Kas_Gearty_no_cut),log_loss (Kas_Gearty_no_cut),kappa (Kas_Gearty_no_cut),fall_out (Kas_Gearty_no_cut),miss_rate (Kas_Gearty_no_cut),NPV (Kas_Gearty_no_cut),lr_plus (Kas_Gearty_no_cut),lr_minus (Kas_Gearty_no_cut)
IGRP_WF_1_Kf_dist,9222.0,2124.0,11877.0,4647.0,0.7570505920344457,0.812797461660497,0.6649361886221069,0.8482965502464109,0.7314693634741225,0.7566163694342589,0.8022505618231723,1.0,0.5223209808396798,0.7144612206691815,0.5136732368485301,0.15170344975358904,0.33506381137789315,0.7187726942628904,4.383131627541487,0.3949842909069531
IGRP_WF_2_Kf_dist,8392.0,874.0,13127.0,5477.0,0.7721205597416577,0.9056766673861428,0.6050904895810801,0.9375758874366116,0.7254808731359412,0.7713331885088459,0.8029378292556166,0.92,0.5759512200058681,0.6030032159692424,0.543516718986945,0.062424112563388326,0.3949095104189199,0.7056009460331112,9.693217327945883,0.4212027161861277
IGRP_WF_3_Kf_dist,8783.0,1930.0,12071.0,5086.0,0.748259777538572,0.8198450480724354,0.6332828610570337,0.8621527033783302,0.7145879098527378,0.7477177822176819,0.8064585520963555,1.0,0.5092289113340799,0.670656022040279,0.4959675869618276,0.1378472966216699,0.3667171389429663,0.7035612286530281,4.594089812258823,0.4253505643559333
IGRP_WF_4_Kf_dist,8682.0,1229.0,12772.0,5187.0,0.7697883028345892,0.8759963676722833,0.6260004326195111,0.9122205556745948,0.7301934398654332,0.7691104941470529,0.8023355397360991,0.92,0.5621638540556179,0.6474968862218918,0.5389460263389532,0.08777944432540533,0.3739995673804888,0.7111754552035191,7.131515099353764,0.40998809449531975
IGRP_WF_5_Kf_dist,9095.0,1872.0,12129.0,4774.0,0.7615357014711159,0.8293061001185374,0.6557790756363112,0.8662952646239555,0.7324045740054759,0.7610371701301333,0.8054753708789453,1.0,0.5343288611823584,0.6544749606402065,0.5225898039426979,0.13370473537604458,0.3442209243636888,0.7175649293024907,4.904681003196577,0.39734826960310055
IGRP_WF_6_Kf_dist,8702.0,795.0,13206.0,5167.0,0.7860782203085755,0.9162893545330104,0.6274424976566443,0.9432183415470324,0.7448429341778653,0.7853304196018382,0.8109334418183174,1.0,0.6020005888782552,0.5985551389210276,0.5715101053235923,0.05678165845296765,0.3725575023433557,0.7187721112502041,11.05009108137192,0.3949854301309498
IGRP_WF_7_Kf_dist,9295.0,2228.0,11773.0,4574.0,0.7559382848941514,0.8066475744163846,0.670199726007643,0.8408685093921863,0.7321203528670447,0.7555341176999146,0.8011342720598911,1.0,0.5188946327813816,0.6592972904799795,0.5114760784501451,0.15913149060781373,0.32980027399235706,0.7201933076405457,4.211609678560596,0.3922138483111349
IGRP_WF_8_Kf_dist,7692.0,826.0,13175.0,6177.0,0.7487262289199856,0.9030288800187838,0.554618213281419,0.9410042139847152,0.6871845267342654,0.7478112136330672,0.7953078029937284,0.8400000000000001,0.5379244774054401,0.6336692231930833,0.4965254864805702,0.05899578601528462,0.44538178671858103,0.680808185200496,9.400980150306477,0.473304773878319
IGRP_WF_9_Kf_dist,9398.0,2212.0,11789.0,4471.0,0.7602081090778615,0.8094745908699397,0.6776263609488788,0.8420112849082209,0.7377055614427568,0.7598188229285499,0.7999562946455587,0.8400000000000001,0.5270190671953836,0.7008485698259452,0.5200369374394346,0.15798871509177914,0.3223736390511212,0.7250307503075031,4.289080777416478,0.3828614233908513
IGRP_WF_10_Kf_dist,8881.0,1330.0,12671.0,4988.0,0.7733046286329387,0.8697483106453824,0.6403489797389862,0.9050067852296264,0.737624584717608,0.7726778824843064,0.7988114437341597,0.92,0.5659327396532661,0.6423565451193107,0.5460346615862504,0.09499321477037356,0.3596510202610137,0.7175377994223908,6.7409970415981535,0.3974014627633536
