model_name,TP (Kas_Gearty_no_cut),FP (Kas_Gearty_no_cut),TN (Kas_Gearty_no_cut),FN (Kas_Gearty_no_cut),accuracy (Kas_Gearty_no_cut),precision (Kas_Gearty_no_cut),recall (Kas_Gearty_no_cut),specificity (Kas_Gearty_no_cut),f1_score (Kas_Gearty_no_cut),b_accuracy (Kas_Gearty_no_cut),AUC_value_inf (Kas_Gearty_no_cut),AUC_value_trn (Kas_Gearty_no_cut),mcc (Kas_Gearty_no_cut),log_loss (Kas_Gearty_no_cut),kappa (Kas_Gearty_no_cut),fall_out (Kas_Gearty_no_cut),miss_rate (Kas_Gearty_no_cut),NPV (Kas_Gearty_no_cut),lr_plus (Kas_Gearty_no_cut),lr_minus (Kas_Gearty_no_cut)
IGRP_WF_1_Kf_dist,7151.0,689.0,13312.0,6718.0,0.7342303552206674,0.9121173469387756,0.5156103540269666,0.9507892293407614,0.6588051038739693,0.733199791683864,0.8022505618231723,1.0,0.5186349139870791,0.7144612206691815,0.467357293407428,0.049210770659238616,0.4843896459730334,0.6646030953569646,10.477591533717794,0.509460594446247
IGRP_WF_2_Kf_dist,5292.0,305.0,13696.0,8577.0,0.6813060638679583,0.9455065213507235,0.381570408825438,0.9782158417255912,0.5437172505907737,0.6798931252755145,0.8029378292556166,0.92,0.4490344406606253,0.6030032159692424,0.36080067006029737,0.02178415827440897,0.618429591174562,0.6149149194091501,17.515958340868714,0.6322015702420445
IGRP_WF_3_Kf_dist,7079.0,776.0,13225.0,6790.0,0.7285252960172228,0.901209420751114,0.5104189198932871,0.9445753874723234,0.6517215982323697,0.7274971536828052,0.8064585520963555,1.0,0.505658338145757,0.670656022040279,0.4559262684339944,0.0554246125276766,0.4895810801067128,0.6607544341743692,9.209246517301434,0.5183081060547513
IGRP_WF_4_Kf_dist,7239.0,451.0,13550.0,6630.0,0.7459275206315034,0.9413524057217164,0.5219554401903526,0.9677880151417756,0.6715524838814416,0.7448717276660641,0.8023355397360991,0.92,0.5478314895757613,0.6474968862218918,0.4907741727773904,0.032211984858224414,0.4780445598096474,0.6714568880079287,16.203765228614472,0.4939558584424261
IGRP_WF_5_Kf_dist,7096.0,642.0,13359.0,6773.0,0.7339433082167205,0.9170328250193848,0.5116446751748503,0.954146132419113,0.6568241773499329,0.7328954037969817,0.8054753708789453,1.0,0.5200381345976564,0.6544749606402065,0.4667634829660342,0.04585386758088708,0.4883553248251496,0.6635704351281542,11.158157472154329,0.5118244556386645
IGRP_WF_6_Kf_dist,6357.0,201.0,13800.0,7512.0,0.7232508073196986,0.9693504117108874,0.4583603720527796,0.9856438825798156,0.6224115141724189,0.7220021273162976,0.8109334418183174,1.0,0.5233490301580076,0.5985551389210276,0.4451103286429695,0.014356117420184273,0.5416396279472204,0.6475225225225225,31.927878453288393,0.5495287268760171
IGRP_WF_7_Kf_dist,6980.0,630.0,13371.0,6889.0,0.7302116971654108,0.9172141918528252,0.5032806979594779,0.9550032140561387,0.6499371479119139,0.7291419560078084,0.8011342720598911,1.0,0.5143096400349979,0.6592972904799795,0.4592609336662593,0.04499678594386115,0.496719302040522,0.6599703849950642,11.18481436846135,0.5201231731261199
IGRP_WF_8_Kf_dist,5013.0,137.0,13864.0,8856.0,0.6773232866881952,0.9733980582524272,0.3614536015574302,0.990214984643954,0.5271570534728429,0.6758342931006921,0.7953078029937284,0.8400000000000001,0.4530309774380194,0.6336692231930833,0.3527138572743809,0.009785015356045998,0.6385463984425698,0.6102112676056338,36.93950274018672,0.6448563275096956
IGRP_WF_9_Kf_dist,7052.0,976.0,13025.0,6817.0,0.7203803372802297,0.8784255107125062,0.5084721320931574,0.9302906935218912,0.6441064986071151,0.7193814128075244,0.7999562946455587,0.8400000000000001,0.4844350100248925,0.7008485698259452,0.4396356358414821,0.0697093064781087,0.4915278679068426,0.6564358431609717,7.294178608028994,0.5283594378935664
IGRP_WF_10_Kf_dist,7618.0,580.0,13421.0,6251.0,0.7548977395048441,0.9292510368382532,0.5492825726440262,0.9585743875437468,0.690442742556759,0.7539284800938866,0.7988114437341597,0.92,0.5572695277119888,0.6423565451193107,0.5088377562373938,0.041425612456253126,0.4507174273559738,0.6822387149247662,13.259491895843125,0.4701955666799038
IGRP_WF_11_Kf_dist,6849.0,689.0,13312.0,7020.0,0.7233943308216719,0.9085964446802866,0.4938351719662557,0.9507892293407614,0.6398841500443779,0.7223122006535085,0.7914462183512958,0.96,0.500469111314637,0.6595344890066421,0.4455832296920228,0.049210770659238616,0.5061648280337443,0.6547314578005116,10.03510340014448,0.5323628122972096
IGRP_WF_12_Kf_dist,5290.0,202.0,13799.0,8579.0,0.6849300322927879,0.9632192279679532,0.3814262023217247,0.9855724591100636,0.5464593770982904,0.6834993307158941,0.8078779783294632,0.92,0.4613076780189102,0.6248675587626156,0.3680465884644478,0.014427540889936431,0.6185737976782753,0.6166324068281348,26.43736761735876,0.6276289398719858
IGRP_WF_13_Kf_dist,6255.0,363.0,13638.0,7614.0,0.7137782561894509,0.9451495920217589,0.4510058403634004,0.9740732804799656,0.6106311319373261,0.7125395604216831,0.8160713482611321,0.8,0.4994690598354608,0.5659961052855813,0.4261293379115783,0.025926719520034284,0.5489941596365996,0.6417278373800113,17.395407082446194,0.5636066306696019
