model name,t50_panc_spt,t60_panc_spt,t70_panc_spt,t80_panc_spt,t90_panc_spt,nseq_panc_spt
IGRP_WF_77_Mc_dist,0.311288483,0.279931585,0.257696693,0.209236032,0.143101482,1754
IGRP_WF_78_Mc_dist,0.249714937,0.236031927,0.217217788,0.133979475,0.101482326,1754
IGRP_WF_79_Mc_dist,0.398517674,0.27936146,0.255416192,0.224059293,0.175028506,1754
IGRP_WF_7_Kf_dist,0.475484607,0.418472064,0.305017104,0.265678449,0.224629418,1754
IGRP_WF_80_Mc_dist,0.250855188,0.24059293,0.225199544,0.203534778,0.131128848,1754
IGRP_WF_81_Mc_dist,0.320980616,0.293614595,0.274230331,0.1995439,0.161345496,1754
IGRP_WF_82_Mc_dist,0.261117446,0.22690992,0.216077537,0.118586089,0.062713797,1754
IGRP_WF_83_Mc_dist,0.381984036,0.310718358,0.275940707,0.251425314,0.177309008,1754
IGRP_WF_84_Mc_dist,0.277651083,0.264538198,0.212086659,0.155074116,0.112314709,1754
IGRP_WF_85_Mc_dist,0.303876853,0.275370582,0.245153934,0.200114025,0.104903079,1754
IGRP_WF_86_Mc_dist,0.245153934,0.204675029,0.156784493,0.149372862,0.010832383,1754
IGRP_WF_87_Mc_dist,0.355758267,0.269669327,0.257126568,0.215507412,0.144811859,1754
IGRP_WF_88_Mc_dist,0.257126568,0.242873432,0.208665906,0.183580388,0.130558723,1754
IGRP_WF_89_Mc_dist,0.356898518,0.298175599,0.286202965,0.252565564,0.178449259,1754
IGRP_WF_8_Kf_dist,0.267388826,0.254275941,0.225199544,0.202964652,0.140250855,1754
IGRP_WF_90_Mc_dist,0.258836944,0.234321551,0.214937286,0.184150513,0.145952109,1754
IGRP_WF_91_Mc_dist,0.341505131,0.295895097,0.281071836,0.241163056,0.1995439,1754
IGRP_WF_92_Mc_dist,0.265678449,0.247434436,0.210376283,0.184150513,0.065564424,1754
IGRP_WF_93_Mc_dist,0.305017104,0.270239453,0.230900798,0.1995439,0.143101482,1754
IGRP_WF_94_Mc_dist,0.236031927,0.215507412,0.191562144,0.140250855,0.055302166,1754
IGRP_WF_95_Mc_dist,0.378563284,0.275370582,0.268529076,0.218358039,0.142531357,1754
IGRP_WF_96_Mc_dist,0.267388826,0.238312429,0.209236032,0.137400228,0.012542759,1754
IGRP_WF_9_Kf_dist,0.393386545,0.321550741,0.290763968,0.259977195,0.232611174,1754
