model_name,TP (Kas_Gearty_no_cut)_rk,FP (Kas_Gearty_no_cut)_rk,TN (Kas_Gearty_no_cut)_rk,FN (Kas_Gearty_no_cut)_rk,accuracy (Kas_Gearty_no_cut)_rk,precision (Kas_Gearty_no_cut)_rk,recall (Kas_Gearty_no_cut)_rk,specificity (Kas_Gearty_no_cut)_rk,f1_score (Kas_Gearty_no_cut)_rk,b_accuracy (Kas_Gearty_no_cut)_rk,AUC_value_inf (Kas_Gearty_no_cut)_rk,AUC_value_trn (Kas_Gearty_no_cut)_rk,mcc (Kas_Gearty_no_cut)_rk,log_loss (Kas_Gearty_no_cut)_rk,kappa (Kas_Gearty_no_cut)_rk,fall_out (Kas_Gearty_no_cut)_rk,miss_rate (Kas_Gearty_no_cut)_rk,NPV (Kas_Gearty_no_cut)_rk,lr_plus (Kas_Gearty_no_cut)_rk,lr_minus (Kas_Gearty_no_cut)_rk
IGRP_WF_1_Kf_dist,19.0,3.0,93.0,78.0,92.0,95.0,19.0,93.0,73.0,91.0,62.0,1.0,93.0,2.0,91.0,3.0,78.0,50.0,95.0,47.0
IGRP_WF_2_Kf_dist,75.0,85.0,12.0,22.0,6.0,8.0,75.0,12.0,22.0,6.0,58.0,72.0,5.0,77.0,6.0,85.0,22.0,67.0,8.0,30.0
IGRP_WF_3_Kf_dist,3.0,15.0,82.0,94.0,48.0,79.0,3.0,82.0,3.0,48.0,44.0,1.0,55.0,19.0,48.0,15.0,94.0,2.0,79.0,95.0
IGRP_WF_4_Kf_dist,52.0,56.0,40.0,45.0,19.0,39.0,52.0,40.0,25.0,19.0,61.0,72.0,24.0,40.0,19.0,56.0,45.0,37.0,39.0,60.0
IGRP_WF_5_Kf_dist,11.0,8.0,89.0,86.0,81.0,88.0,11.0,89.0,63.0,80.0,51.0,1.0,85.0,33.0,81.0,8.0,86.0,21.0,88.0,76.0
IGRP_WF_6_Kf_dist,63.0,61.0,36.0,34.0,23.0,33.0,63.0,36.0,34.0,24.0,15.0,1.0,26.0,84.0,23.0,61.0,34.0,59.0,33.0,38.0
IGRP_WF_7_Kf_dist,1.0,1.0,96.0,96.0,85.0,96.0,1.0,96.0,24.0,85.0,67.0,1.0,88.0,30.0,85.0,1.0,96.0,3.0,96.0,94.0
IGRP_WF_8_Kf_dist,89.0,81.0,16.0,8.0,79.0,26.0,89.0,16.0,91.0,79.0,87.0,87.0,68.0,47.0,79.0,81.0,8.0,91.0,26.0,6.0
IGRP_WF_9_Kf_dist,4.0,3.0,93.0,93.0,78.0,90.0,4.0,93.0,50.0,78.0,75.0,87.0,83.0,8.0,78.0,3.0,93.0,12.0,90.0,85.0
IGRP_WF_10_Kf_dist,51.0,52.0,45.0,46.0,34.0,44.0,51.0,45.0,41.0,33.0,79.0,72.0,34.0,44.0,33.0,52.0,46.0,53.0,44.0,44.0
IGRP_WF_11_Kf_dist,79.0,35.0,62.0,18.0,95.0,71.0,79.0,62.0,89.0,95.0,92.0,61.0,94.0,29.0,95.0,35.0,18.0,87.0,71.0,10.0
IGRP_WF_12_Kf_dist,80.0,82.0,15.0,17.0,22.0,14.0,80.0,15.0,67.0,23.0,35.0,72.0,17.0,56.0,22.0,82.0,17.0,75.0,14.0,22.0
IGRP_WF_13_Kf_dist,14.0,33.0,64.0,82.0,38.0,59.0,14.0,64.0,10.0,38.0,4.0,91.0,48.0,96.0,38.0,33.0,82.0,5.0,59.0,92.0
