model_name,TP (Kas_Gearty_no_cut),FP (Kas_Gearty_no_cut),TN (Kas_Gearty_no_cut),FN (Kas_Gearty_no_cut),accuracy (Kas_Gearty_no_cut),precision (Kas_Gearty_no_cut),recall (Kas_Gearty_no_cut),specificity (Kas_Gearty_no_cut),f1_score (Kas_Gearty_no_cut),b_accuracy (Kas_Gearty_no_cut),AUC_value_inf (Kas_Gearty_no_cut),AUC_value_trn (Kas_Gearty_no_cut),mcc (Kas_Gearty_no_cut),log_loss (Kas_Gearty_no_cut),kappa (Kas_Gearty_no_cut),fall_out (Kas_Gearty_no_cut),miss_rate (Kas_Gearty_no_cut),NPV (Kas_Gearty_no_cut),lr_plus (Kas_Gearty_no_cut),lr_minus (Kas_Gearty_no_cut)
IGRP_WF_1_Kf_dist,9741.0,3294.0,10707.0,4128.0,0.7336921420882669,0.7472957422324511,0.7023577763357127,0.7647310906363831,0.7241302408563782,0.7335444334860479,0.8022505618231723,1.0,0.46806085848374396,0.7144612206691815,0.4672213097938401,0.2352689093636169,0.2976422236642873,0.7217391304347827,2.9853403844797555,0.3892116160944883
IGRP_WF_2_Kf_dist,9022.0,1556.0,12445.0,4847.0,0.7702547542160029,0.8529022499527321,0.6505155382507751,0.8888650810656382,0.738086472777846,0.7696903096582066,0.8029378292556166,0.92,0.5557417761107681,0.6030032159692424,0.5399846361152507,0.11113491893436184,0.3494844617492249,0.7196969696969697,5.8533856369210175,0.393180550337557
IGRP_WF_3_Kf_dist,10066.0,3044.0,10957.0,3803.0,0.7543236454969501,0.7678108314263921,0.7257913331891268,0.7825869580744232,0.746210015197005,0.7541891456317751,0.8064585520963555,1.0,0.5092658732473698,0.670656022040279,0.5085094751693808,0.2174130419255768,0.2742086668108732,0.7423441734417344,3.3383063258807373,0.3503874732152081
IGRP_WF_4_Kf_dist,9272.0,1987.0,12014.0,4597.0,0.7637603157517043,0.8235189626076916,0.6685413512149397,0.8580815656024571,0.7379815345431391,0.7633114584086984,0.8023355397360991,0.92,0.5366041874103371,0.6474968862218918,0.5270905070532569,0.14191843439754304,0.3314586487850602,0.7232556739509963,4.710743562335366,0.3862787199633451
IGRP_WF_5_Kf_dist,9847.0,3241.0,10760.0,4022.0,0.7393972012917115,0.7523685819070904,0.7100007210325185,0.7685165345332476,0.730570909225804,0.7392586277828831,0.8054753708789453,1.0,0.4793982706032864,0.6544749606402065,0.478644314049939,0.2314834654667524,0.28999927896748146,0.7279123258016507,3.0671768266511235,0.37734943353380185
IGRP_WF_6_Kf_dist,9201.0,1931.0,12070.0,4668.0,0.7632221026193039,0.8265361121092346,0.6634220203331171,0.862081279908578,0.7360505579776809,0.7627516501208476,0.8109334418183174,1.0,0.5364622528863936,0.5985551389210276,0.5259926216097757,0.13791872009142206,0.33657797966688296,0.7211136336479866,4.8102391023738855,0.3904248793136726
IGRP_WF_7_Kf_dist,10278.0,3706.0,10295.0,3591.0,0.7381772515249372,0.7349828375286042,0.7410772225827384,0.7353046210984929,0.7380174487487883,0.7381909218406157,0.8011342720598911,1.0,0.4763794455967214,0.6592972904799795,0.4763632238475297,0.264695378901507,0.2589227774172615,0.7413942099956791,2.7997361557962552,0.3521299472189489
IGRP_WF_8_Kf_dist,8304.0,1676.0,12325.0,5565.0,0.7401865805525655,0.8320641282565129,0.5987454034176941,0.8802942646953789,0.6963813996393978,0.7395198340565365,0.7953078029937284,0.8400000000000001,0.4995778087084353,0.6336692231930833,0.4796737182470616,0.1197057353046211,0.4012545965823059,0.6889323644494131,5.001810497166549,0.4558187104867234
IGRP_WF_9_Kf_dist,9935.0,3294.0,10707.0,3934.0,0.7406530319339792,0.7510015874215739,0.7163458071959046,0.7647310906363831,0.7332644475607056,0.7405384489161438,0.7999562946455587,0.8400000000000001,0.4816901051425882,0.7008485698259452,0.4811815693906513,0.2352689093636169,0.2836541928040955,0.7313025066593812,3.0447958854128294,0.3709201787102028
IGRP_WF_10_Kf_dist,9273.0,2092.0,11909.0,4596.0,0.7600287047003947,0.8159260888693357,0.6686134544667964,0.8505821012784801,0.7349607672188317,0.7595977778726383,0.7988114437341597,0.92,0.5282513113265745,0.6423565451193107,0.5196378128337297,0.1494178987215199,0.3313865455332036,0.7215389275976977,4.474788229440543,0.3895997165177919
IGRP_WF_11_Kf_dist,8902.0,2593.0,11408.0,4967.0,0.728740581270183,0.7744236624619399,0.6418631480279761,0.8147989429326477,0.7019397571360984,0.7283310454803118,0.7914462183512958,0.96,0.463822615566883,0.6595344890066421,0.4570308697901233,0.18520105706735232,0.35813685197202394,0.6966717557251908,3.4657639550866537,0.4395401529155248
IGRP_WF_12_Kf_dist,8898.0,1625.0,12376.0,4971.0,0.7633297452457841,0.845576356552314,0.6415747350205494,0.8839368616527391,0.7295834699901607,0.7627557983366442,0.8078779783294632,0.92,0.5420039251263737,0.6248675587626156,0.5261099285847646,0.11606313834726092,0.3584252649794506,0.7134374819853577,5.5278079169370535,0.40548740586435744
IGRP_WF_13_Kf_dist,9757.0,2643.0,11358.0,4112.0,0.7576246860423395,0.7868548387096774,0.7035114283654192,0.8112277694450396,0.7428527922646465,0.7573695989052294,0.8160713482611321,0.8,0.5178850137458251,0.5659961052855813,0.5149963354579665,0.1887722305549604,0.2964885716345807,0.7341952165481577,3.7267739343716366,0.3654812899679314
IGRP_WF_14_Kf_dist,9077.0,1478.0,12523.0,4792.0,0.77502691065662,0.8599715774514448,0.6544812171028913,0.8944361117063067,0.7432852931542745,0.7744586644045991,0.8010859920808784,0.92,0.5658074693638863,0.6095215040788049,0.5495363259481687,0.10556388829369333,0.34551878289710863,0.7232457406872653,6.199858944964531,0.3862978902293714
IGRP_WF_15_Kf_dist,9556.0,2622.0,11379.0,4313.0,0.7511661284535343,0.7846937099687962,0.6890186747422309,0.8127276623098351,0.7337505278918878,0.750873168526033,0.8072988348756173,1.0,0.5057771186098341,0.6071534711290465,0.5020348844983479,0.18727233769016505,0.3109813252577691,0.7251465715014019,3.6792335869816832,0.38263903110414144
IGRP_WF_16_Kf_dist,9637.0,2369.0,11632.0,4232.0,0.7631503408683172,0.8026819923371648,0.6948590381426202,0.8307978001571317,0.7448888888888889,0.762828419149876,0.8011026158432522,0.96,0.5307608736988758,0.6211714358394481,0.5259899040647926,0.16920219984286836,0.30514096185737977,0.7332324760463943,4.106678511200856,0.3672866752893032
IGRP_WF_17_Kf_dist,9397.0,2857.0,11144.0,4472.0,0.7370290635091497,0.7668516402807246,0.6775542576970222,0.7959431469180773,0.7194426367568809,0.7367487023075497,0.7963533130203111,1.0,0.4769752744458278,0.7215734676788266,0.4737574614792797,0.2040568530819228,0.32244574230297784,0.7136270491803278,3.3204190276569854,0.4051115253036605
