model_name,TP (Kas_Gearty_no_cut)_rk,FP (Kas_Gearty_no_cut)_rk,TN (Kas_Gearty_no_cut)_rk,FN (Kas_Gearty_no_cut)_rk,accuracy (Kas_Gearty_no_cut)_rk,precision (Kas_Gearty_no_cut)_rk,recall (Kas_Gearty_no_cut)_rk,specificity (Kas_Gearty_no_cut)_rk,f1_score (Kas_Gearty_no_cut)_rk,b_accuracy (Kas_Gearty_no_cut)_rk,AUC_value_inf (Kas_Gearty_no_cut)_rk,AUC_value_trn (Kas_Gearty_no_cut)_rk,mcc (Kas_Gearty_no_cut)_rk,log_loss (Kas_Gearty_no_cut)_rk,kappa (Kas_Gearty_no_cut)_rk,fall_out (Kas_Gearty_no_cut)_rk,miss_rate (Kas_Gearty_no_cut)_rk,NPV (Kas_Gearty_no_cut)_rk,lr_plus (Kas_Gearty_no_cut)_rk,lr_minus (Kas_Gearty_no_cut)_rk
IGRP_WF_1_Kf_dist,14.0,2.0,95.0,83.0,82.0,95.0,14.0,95.0,63.0,82.0,62.0,1.0,88.0,2.0,82.0,2.0,83.0,48.0,95.0,49.0
IGRP_WF_2_Kf_dist,69.0,81.0,16.0,28.0,9.0,11.0,69.0,16.0,34.0,9.0,58.0,72.0,6.0,77.0,9.0,81.0,28.0,62.0,11.0,35.0
IGRP_WF_3_Kf_dist,6.0,15.0,82.0,91.0,46.0,77.0,6.0,82.0,13.0,46.0,44.0,1.0,58.0,19.0,46.0,15.0,91.0,6.0,77.0,91.0
IGRP_WF_4_Kf_dist,42.0,56.0,41.0,55.0,16.0,38.0,42.0,41.0,14.0,16.0,61.0,72.0,19.0,40.0,16.0,56.0,55.0,24.0,38.0,73.0
IGRP_WF_5_Kf_dist,5.0,7.0,90.0,92.0,68.0,90.0,5.0,90.0,38.0,66.0,51.0,1.0,73.0,33.0,67.0,7.0,92.0,9.0,90.0,88.0
IGRP_WF_6_Kf_dist,66.0,65.0,32.0,31.0,21.0,32.0,66.0,32.0,49.0,21.0,15.0,1.0,21.0,84.0,21.0,65.0,31.0,65.0,32.0,32.0
IGRP_WF_7_Kf_dist,2.0,1.0,96.0,95.0,86.0,96.0,2.0,96.0,64.0,86.0,67.0,1.0,93.0,30.0,86.0,1.0,95.0,29.0,96.0,68.0
IGRP_WF_8_Kf_dist,87.0,80.0,17.0,10.0,78.0,22.0,87.0,17.0,88.0,80.0,87.0,87.0,60.0,47.0,80.0,80.0,10.0,88.0,22.0,9.0
IGRP_WF_9_Kf_dist,1.0,3.0,94.0,96.0,71.0,93.0,1.0,94.0,27.0,71.0,75.0,87.0,77.0,8.0,71.0,3.0,96.0,7.0,93.0,90.0
IGRP_WF_10_Kf_dist,48.0,50.0,47.0,49.0,28.0,45.0,48.0,47.0,42.0,28.0,79.0,72.0,29.0,44.0,28.0,50.0,49.0,52.0,45.0,45.0
IGRP_WF_11_Kf_dist,73.0,33.0,64.0,24.0,89.0,72.0,73.0,64.0,84.0,88.0,92.0,61.0,92.0,29.0,88.0,33.0,24.0,82.0,72.0,15.0
IGRP_WF_12_Kf_dist,75.0,78.0,18.0,22.0,49.0,21.0,75.0,18.0,73.0,49.0,35.0,72.0,33.0,56.0,49.0,78.0,22.0,72.0,21.0,25.0
IGRP_WF_13_Kf_dist,32.0,37.0,60.0,65.0,34.0,60.0,32.0,60.0,28.0,34.0,4.0,91.0,44.0,96.0,34.0,37.0,65.0,26.0,60.0,71.0
IGRP_WF_14_Kf_dist,86.0,91.0,6.0,11.0,50.0,2.0,86.0,6.0,80.0,51.0,70.0,72.0,26.0,73.0,51.0,91.0,11.0,81.0,2.0,16.0
IGRP_WF_15_Kf_dist,29.0,36.0,61.0,68.0,37.0,61.0,29.0,61.0,29.0,38.0,40.0,1.0,46.0,74.0,37.0,36.0,68.0,23.0,61.0,74.0
IGRP_WF_16_Kf_dist,25.0,52.0,45.0,72.0,5.0,41.0,25.0,45.0,1.0,5.0,69.0,61.0,11.0,61.0,5.0,52.0,72.0,5.0,41.0,92.0
IGRP_WF_17_Kf_dist,34.0,20.0,77.0,63.0,73.0,80.0,34.0,77.0,65.0,73.0,85.0,1.0,78.0,1.0,73.0,20.0,63.0,59.0,80.0,38.0
IGRP_WF_18_Kf_dist,76.0,73.0,24.0,21.0,55.0,26.0,76.0,24.0,76.0,57.0,49.0,87.0,43.0,92.0,56.0,73.0,21.0,77.0,26.0,20.0
IGRP_WF_19_Kf_dist,49.0,41.0,56.0,47.0,45.0,58.0,49.0,56.0,58.0,45.0,54.0,1.0,47.0,46.0,45.0,41.0,47.0,61.0,58.0,36.0
IGRP_WF_20_Kf_dist,71.0,55.0,42.0,26.0,56.0,43.0,71.0,42.0,70.0,56.0,86.0,1.0,53.0,12.0,55.0,55.0,26.0,70.0,43.0,27.0
IGRP_WF_21_Kf_dist,21.0,25.0,72.0,76.0,52.0,71.0,21.0,72.0,44.0,52.0,90.0,1.0,63.0,23.0,52.0,25.0,76.0,25.0,71.0,72.0
IGRP_WF_22_Kf_dist,94.0,93.0,4.0,3.0,94.0,8.0,94.0,4.0,94.0,94.0,45.0,72.0,89.0,31.0,94.0,93.0,3.0,94.0,8.0,3.0
IGRP_WF_23_Kf_dist,84.0,72.0,25.0,13.0,74.0,30.0,84.0,25.0,82.0,74.0,55.0,84.0,57.0,53.0,74.0,72.0,13.0,84.0,30.0,13.0
IGRP_WF_24_Kf_dist,88.0,90.0,7.0,9.0,67.0,4.0,88.0,7.0,85.0,70.0,71.0,1.0,38.0,9.0,68.0,90.0,9.0,87.0,4.0,10.0
IGRP_WF_25_Kf_dist,19.0,4.0,93.0,78.0,84.0,94.0,19.0,93.0,67.0,83.0,13.0,91.0,87.0,21.0,83.0,4.0,78.0,54.0,94.0,43.0
IGRP_WF_26_Kf_dist,74.0,61.0,36.0,23.0,66.0,37.0,74.0,36.0,75.0,67.0,7.0,91.0,55.0,75.0,66.0,61.0,23.0,75.0,37.0,22.0
IGRP_WF_27_Kf_dist,18.0,13.0,84.0,79.0,72.0,85.0,18.0,84.0,54.0,72.0,73.0,91.0,74.0,3.0,72.0,13.0,79.0,27.0,85.0,70.0
IGRP_WF_28_Kf_dist,81.0,57.0,40.0,16.0,85.0,49.0,81.0,40.0,87.0,85.0,65.0,61.0,79.0,35.0,85.0,57.0,16.0,86.0,49.0,11.0
IGRP_WF_29_Kf_dist,44.0,42.0,55.0,53.0,32.0,54.0,44.0,55.0,41.0,32.0,93.0,1.0,40.0,15.0,32.0,42.0,53.0,49.0,54.0,48.0
IGRP_WF_30_Kf_dist,92.0,87.0,10.0,5.0,92.0,20.0,92.0,10.0,92.0,92.0,91.0,72.0,86.0,11.0,92.0,87.0,5.0,92.0,20.0,5.0
IGRP_WF_31_Kf_dist,20.0,17.0,80.0,77.0,61.0,79.0,20.0,80.0,45.0,60.0,19.0,1.0,68.0,65.0,61.0,17.0,77.0,22.0,79.0,75.0
IGRP_WF_32_Kf_dist,67.0,74.0,23.0,30.0,11.0,19.0,67.0,23.0,30.0,11.0,6.0,1.0,8.0,55.0,11.0,74.0,30.0,57.0,19.0,40.0
IGRP_WF_33_Mc_dist,17.0,29.0,68.0,80.0,38.0,65.0,17.0,68.0,15.0,37.0,47.0,71.0,48.0,51.0,38.0,29.0,80.0,8.0,65.0,89.0
IGRP_WF_34_Mc_dist,51.0,59.0,38.0,46.0,18.0,35.0,51.0,38.0,23.0,18.0,27.0,95.0,18.0,71.0,18.0,59.0,46.0,45.0,35.0,52.0
IGRP_WF_35_Mc_dist,12.0,12.0,85.0,85.0,65.0,84.0,12.0,85.0,43.0,65.0,82.0,46.0,70.0,6.0,65.0,12.0,85.0,12.0,84.0,85.0
IGRP_WF_36_Mc_dist,37.0,43.0,54.0,60.0,29.0,53.0,37.0,54.0,31.0,29.0,11.0,1.0,34.0,50.0,29.0,43.0,60.0,37.0,53.0,60.0
IGRP_WF_37_Mc_dist,10.0,5.0,92.0,87.0,76.0,92.0,10.0,92.0,57.0,76.0,50.0,1.0,82.0,43.0,76.0,5.0,87.0,21.0,92.0,76.0
IGRP_WF_38_Mc_dist,65.0,83.0,14.0,32.0,2.0,7.0,65.0,14.0,7.0,2.0,74.0,1.0,2.0,82.0,2.0,83.0,32.0,47.0,7.0,50.0
IGRP_WF_39_Mc_dist,11.0,8.0,89.0,86.0,70.0,88.0,11.0,89.0,46.0,69.0,66.0,45.0,75.0,64.0,70.0,8.0,86.0,14.0,88.0,83.0
IGRP_WF_40_Mc_dist,49.0,64.0,33.0,47.0,8.0,31.0,49.0,33.0,12.0,8.0,30.0,1.0,9.0,85.0,8.0,64.0,47.0,28.0,31.0,69.0
IGRP_WF_41_Mc_dist,24.0,30.0,67.0,73.0,47.0,67.0,24.0,67.0,37.0,47.0,3.0,67.0,56.0,76.0,47.0,30.0,73.0,19.0,67.0,78.0
