model_name,TP (Kas_Gearty_no_cut)_rk,FP (Kas_Gearty_no_cut)_rk,TN (Kas_Gearty_no_cut)_rk,FN (Kas_Gearty_no_cut)_rk,accuracy (Kas_Gearty_no_cut)_rk,precision (Kas_Gearty_no_cut)_rk,recall (Kas_Gearty_no_cut)_rk,specificity (Kas_Gearty_no_cut)_rk,f1_score (Kas_Gearty_no_cut)_rk,b_accuracy (Kas_Gearty_no_cut)_rk,AUC_value_inf (Kas_Gearty_no_cut)_rk,AUC_value_trn (Kas_Gearty_no_cut)_rk,mcc (Kas_Gearty_no_cut)_rk,log_loss (Kas_Gearty_no_cut)_rk,kappa (Kas_Gearty_no_cut)_rk,fall_out (Kas_Gearty_no_cut)_rk,miss_rate (Kas_Gearty_no_cut)_rk,NPV (Kas_Gearty_no_cut)_rk,lr_plus (Kas_Gearty_no_cut)_rk,lr_minus (Kas_Gearty_no_cut)_rk
IGRP_WF_1_Kf_dist,18.0,14.0,82.0,79.0,20.0,79.0,18.0,82.0,18.0,20.0,62.0,1.0,25.0,2.0,20.0,14.0,79.0,18.0,79.0,79.0
IGRP_WF_2_Kf_dist,66.0,52.0,45.0,31.0,67.0,44.0,66.0,45.0,67.0,67.0,58.0,72.0,68.0,77.0,67.0,52.0,31.0,67.0,44.0,30.0
IGRP_WF_3_Kf_dist,22.0,10.0,87.0,75.0,31.0,86.0,22.0,87.0,25.0,31.0,44.0,1.0,39.0,19.0,31.0,10.0,75.0,26.0,86.0,71.0
IGRP_WF_4_Kf_dist,15.0,38.0,59.0,82.0,12.0,53.0,15.0,59.0,14.0,12.0,61.0,72.0,10.0,40.0,12.0,38.0,82.0,14.0,53.0,83.0
IGRP_WF_5_Kf_dist,21.0,20.0,77.0,76.0,21.0,76.0,21.0,77.0,20.0,21.0,51.0,1.0,24.0,33.0,21.0,20.0,76.0,20.0,76.0,77.0
IGRP_WF_6_Kf_dist,48.0,66.0,29.0,49.0,39.0,9.0,48.0,29.0,46.0,39.0,15.0,1.0,23.0,84.0,39.0,66.0,49.0,46.0,9.0,51.0
IGRP_WF_7_Kf_dist,29.0,21.0,75.0,68.0,28.0,74.0,29.0,75.0,28.0,28.0,67.0,1.0,29.0,30.0,28.0,21.0,68.0,28.0,74.0,69.0
IGRP_WF_8_Kf_dist,69.0,82.0,15.0,28.0,68.0,3.0,69.0,15.0,69.0,68.0,87.0,87.0,67.0,47.0,68.0,82.0,28.0,68.0,3.0,29.0
IGRP_WF_9_Kf_dist,25.0,1.0,96.0,72.0,44.0,96.0,25.0,96.0,33.0,44.0,75.0,87.0,55.0,8.0,44.0,1.0,72.0,33.0,96.0,64.0
IGRP_WF_10_Kf_dist,5.0,24.0,73.0,92.0,5.0,64.0,5.0,73.0,6.0,5.0,79.0,72.0,5.0,44.0,5.0,24.0,92.0,6.0,64.0,91.0
