model name,t50_pln_pd1,t60_pln_pd1,t70_pln_pd1,t80_pln_pd1,t90_pln_pd1,nseq_pln_pd1
IGRP_WF_10_Kf_dist,0.163636364,0.136363636,0.104545455,0.081818182,0.063636364,220
IGRP_WF_11_Kf_dist,0.218181818,0.177272727,0.140909091,0.122727273,0.072727273,220
IGRP_WF_12_Kf_dist,0.159090909,0.118181818,0.086363636,0.05,0.031818182,220
IGRP_WF_13_Kf_dist,0.218181818,0.172727273,0.131818182,0.081818182,0.040909091,220
IGRP_WF_14_Kf_dist,0.131818182,0.118181818,0.077272727,0.040909091,0.018181818,220
IGRP_WF_15_Kf_dist,0.2,0.177272727,0.136363636,0.104545455,0.059090909,220
IGRP_WF_16_Kf_dist,0.2,0.145454545,0.113636364,0.081818182,0.036363636,220
IGRP_WF_17_Kf_dist,0.227272727,0.195454545,0.154545455,0.113636364,0.081818182,220
IGRP_WF_18_Kf_dist,0.104545455,0.090909091,0.063636364,0.054545455,0.027272727,220
IGRP_WF_19_Kf_dist,0.2,0.145454545,0.113636364,0.063636364,0.031818182,220
IGRP_WF_1_Kf_dist,0.254545455,0.227272727,0.159090909,0.131818182,0.063636364,220
IGRP_WF_20_Kf_dist,0.154545455,0.118181818,0.090909091,0.040909091,0.040909091,220
IGRP_WF_21_Kf_dist,0.204545455,0.140909091,0.095454545,0.077272727,0.054545455,220
IGRP_WF_22_Kf_dist,0.095454545,0.063636364,0.05,0.027272727,0.013636364,220
IGRP_WF_23_Kf_dist,0.154545455,0.104545455,0.072727273,0.031818182,0.013636364,220
IGRP_WF_24_Kf_dist,0.127272727,0.090909091,0.063636364,0.031818182,0.013636364,220
IGRP_WF_25_Kf_dist,0.231818182,0.204545455,0.145454545,0.113636364,0.090909091,220
IGRP_WF_26_Kf_dist,0.127272727,0.113636364,0.090909091,0.072727273,0.036363636,220
IGRP_WF_27_Kf_dist,0.281818182,0.204545455,0.15,0.122727273,0.068181818,220
IGRP_WF_28_Kf_dist,0.131818182,0.095454545,0.090909091,0.068181818,0.054545455,220
IGRP_WF_29_Kf_dist,0.177272727,0.140909091,0.113636364,0.081818182,0.027272727,220
IGRP_WF_2_Kf_dist,0.104545455,0.090909091,0.072727273,0.054545455,0.031818182,220
IGRP_WF_30_Kf_dist,0.131818182,0.118181818,0.059090909,0.040909091,0.022727273,220
IGRP_WF_31_Kf_dist,0.236363636,0.190909091,0.140909091,0.086363636,0.063636364,220
IGRP_WF_32_Kf_dist,0.154545455,0.109090909,0.068181818,0.040909091,0.022727273,220
IGRP_WF_33_Mc_dist,0.218181818,0.181818182,0.172727273,0.104545455,0.086363636,220
IGRP_WF_34_Mc_dist,0.181818182,0.113636364,0.095454545,0.054545455,0.018181818,220
IGRP_WF_35_Mc_dist,0.263636364,0.2,0.177272727,0.131818182,0.1,220
IGRP_WF_36_Mc_dist,0.195454545,0.172727273,0.136363636,0.095454545,0.045454545,220
IGRP_WF_37_Mc_dist,0.245454545,0.2,0.172727273,0.127272727,0.072727273,220
IGRP_WF_38_Mc_dist,0.163636364,0.109090909,0.063636364,0.05,0.018181818,220
IGRP_WF_39_Mc_dist,0.259090909,0.213636364,0.163636364,0.118181818,0.077272727,220
IGRP_WF_3_Kf_dist,0.254545455,0.218181818,0.172727273,0.136363636,0.090909091,220
IGRP_WF_40_Mc_dist,0.159090909,0.131818182,0.104545455,0.05,0.018181818,220
IGRP_WF_41_Mc_dist,0.204545455,0.186363636,0.15,0.1,0.05,220
IGRP_WF_42_Mc_dist,0.159090909,0.140909091,0.095454545,0.086363636,0.054545455,220
IGRP_WF_43_Mc_dist,0.240909091,0.195454545,0.159090909,0.131818182,0.090909091,220
IGRP_WF_44_Mc_dist,0.190909091,0.172727273,0.127272727,0.090909091,0.05,220
IGRP_WF_45_Mc_dist,0.240909091,0.177272727,0.145454545,0.113636364,0.072727273,220
IGRP_WF_46_Mc_dist,0.154545455,0.095454545,0.077272727,0.059090909,0.022727273,220
IGRP_WF_47_Mc_dist,0.25,0.195454545,0.154545455,0.118181818,0.086363636,220
IGRP_WF_48_Mc_dist,0.15,0.104545455,0.077272727,0.054545455,0.027272727,220
IGRP_WF_49_Mc_dist,0.245454545,0.190909091,0.145454545,0.127272727,0.072727273,220
IGRP_WF_4_Kf_dist,0.177272727,0.140909091,0.109090909,0.081818182,0.05,220
IGRP_WF_50_Mc_dist,0.140909091,0.118181818,0.095454545,0.059090909,0.027272727,220
IGRP_WF_51_Mc_dist,0.254545455,0.190909091,0.154545455,0.127272727,0.090909091,220
IGRP_WF_52_Mc_dist,0.190909091,0.145454545,0.113636364,0.090909091,0.054545455,220
IGRP_WF_53_Mc_dist,0.218181818,0.172727273,0.140909091,0.113636364,0.040909091,220
IGRP_WF_54_Mc_dist,0.15,0.113636364,0.081818182,0.045454545,0.013636364,220
IGRP_WF_55_Mc_dist,0.227272727,0.190909091,0.15,0.118181818,0.086363636,220
IGRP_WF_56_Mc_dist,0.15,0.122727273,0.090909091,0.045454545,0.013636364,220
IGRP_WF_57_Mc_dist,0.209090909,0.15,0.131818182,0.095454545,0.05,220
IGRP_WF_58_Mc_dist,0.163636364,0.127272727,0.1,0.086363636,0.031818182,220
IGRP_WF_59_Mc_dist,0.227272727,0.2,0.159090909,0.131818182,0.1,220
IGRP_WF_5_Kf_dist,0.263636364,0.204545455,0.159090909,0.136363636,0.072727273,220
IGRP_WF_60_Mc_dist,0.172727273,0.127272727,0.1,0.068181818,0.036363636,220
IGRP_WF_61_Mc_dist,0.213636364,0.168181818,0.136363636,0.104545455,0.054545455,220
IGRP_WF_62_Mc_dist,0.122727273,0.1,0.077272727,0.036363636,0.018181818,220
IGRP_WF_63_Mc_dist,0.240909091,0.195454545,0.159090909,0.109090909,0.077272727,220
IGRP_WF_64_Mc_dist,0.145454545,0.127272727,0.081818182,0.036363636,0.013636364,220
IGRP_WF_65_Mc_dist,0.195454545,0.154545455,0.095454545,0.072727273,0.059090909,220
IGRP_WF_66_Mc_dist,0.140909091,0.081818182,0.072727273,0.059090909,0.036363636,220
IGRP_WF_67_Mc_dist,0.227272727,0.190909091,0.127272727,0.095454545,0.068181818,220
IGRP_WF_68_Mc_dist,0.163636364,0.127272727,0.090909091,0.077272727,0.05,220
IGRP_WF_69_Mc_dist,0.190909091,0.118181818,0.095454545,0.059090909,0.022727273,220
IGRP_WF_6_Kf_dist,0.177272727,0.131818182,0.104545455,0.068181818,0.036363636,220
IGRP_WF_70_Mc_dist,0.086363636,0.063636364,0.036363636,0.031818182,0.004545455,220
IGRP_WF_71_Mc_dist,0.186363636,0.122727273,0.095454545,0.063636364,0.031818182,220
IGRP_WF_72_Mc_dist,0.131818182,0.090909091,0.063636364,0.045454545,0.013636364,220
IGRP_WF_73_Mc_dist,0.204545455,0.177272727,0.131818182,0.109090909,0.081818182,220
IGRP_WF_74_Mc_dist,0.140909091,0.109090909,0.090909091,0.063636364,0.045454545,220
IGRP_WF_75_Mc_dist,0.25,0.190909091,0.172727273,0.122727273,0.090909091,220
IGRP_WF_76_Mc_dist,0.136363636,0.113636364,0.086363636,0.072727273,0.027272727,220
IGRP_WF_77_Mc_dist,0.172727273,0.131818182,0.1,0.059090909,0.036363636,220
IGRP_WF_78_Mc_dist,0.118181818,0.086363636,0.059090909,0.040909091,0.031818182,220
IGRP_WF_79_Mc_dist,0.195454545,0.168181818,0.109090909,0.077272727,0.022727273,220
