model name,t50_pln_igg,t60_pln_igg,t70_pln_igg,t80_pln_igg,t90_pln_igg,nseq_pln_igg
IGRP_WF_10_Kf_dist,0.245476003,0.226593234,0.177812746,0.135326515,0.008654603,1271
IGRP_WF_11_Kf_dist,0.173092054,0.141620771,0.084972463,0.041699449,0.022029898,1271
IGRP_WF_12_Kf_dist,0.218725413,0.181746656,0.143194335,0.010228167,0.004720692,1271
IGRP_WF_13_Kf_dist,0.166011015,0.103855232,0.036978757,0.007867821,0.004720692,1271
IGRP_WF_14_Kf_dist,0.100708104,0.056648308,0.018882769,0.005507474,0.003147128,1271
IGRP_WF_15_Kf_dist,0.169158143,0.12588513,0.105428796,0.060582219,0.013375295,1271
IGRP_WF_16_Kf_dist,0.269079465,0.243115657,0.066089693,0.024390244,0.004720692,1271
IGRP_WF_17_Kf_dist,0.334382376,0.258064516,0.226593234,0.166797797,0.035405193,1271
IGRP_WF_18_Kf_dist,0.2061369,0.197482297,0.048780488,0.016522423,0.007867821,1271
IGRP_WF_19_Kf_dist,0.279307632,0.091266719,0.047993706,0.018882769,0.007867821,1271
IGRP_WF_1_Kf_dist,0.211644375,0.174665618,0.120377655,0.060582219,0.035405193,1271
IGRP_WF_20_Kf_dist,0.247049567,0.221872541,0.066876475,0.014162077,0.007081039,1271
IGRP_WF_21_Kf_dist,0.281667978,0.219512195,0.186467349,0.164437451,0.032258065,1271
IGRP_WF_22_Kf_dist,0.199842644,0.194335169,0.039339103,0.005507474,0.000786782,1271
IGRP_WF_23_Kf_dist,0.219512195,0.192761605,0.123524784,0.004720692,0.001573564,1271
IGRP_WF_24_Kf_dist,0.081825334,0.039339103,0.022029898,0.006294256,0.00393391,1271
IGRP_WF_25_Kf_dist,0.302911094,0.248623131,0.223446105,0.158143194,0.146341463,1271
IGRP_WF_26_Kf_dist,0.233674272,0.221085759,0.078678206,0.018095987,0.008654603,1271
IGRP_WF_27_Kf_dist,0.325727773,0.267505901,0.218725413,0.04956727,0.019669552,1271
