model name,t50_bld_pd1,t60_bld_pd1,t70_bld_pd1,t80_bld_pd1,t90_bld_pd1,nseq_bld_pd1
IGRP_WF_10_Kf_add_dist,0.1408839779005525,0.11602209944751381,0.0787292817679558,0.05386740331491713,0.04281767955801105,724
IGRP_WF_11_Kf_add_dist,0.17541436464088397,0.1505524861878453,0.11602209944751381,0.08287292817679558,0.06077348066298342,724
IGRP_WF_12_Kf_add_dist,0.14226519337016574,0.10911602209944751,0.08977900552486189,0.06629834254143646,0.05386740331491713,724
IGRP_WF_13_Kf_add_dist,0.16988950276243095,0.14226519337016574,0.11602209944751381,0.08149171270718232,0.06077348066298342,724
IGRP_WF_14_Kf_add_dist,0.09668508287292818,0.07734806629834254,0.055248618784530384,0.04143646408839779,0.023480662983425413,724
IGRP_WF_15_Kf_add_dist,0.20027624309392264,0.16022099447513813,0.13812154696132597,0.11740331491712708,0.0856353591160221,724
IGRP_WF_16_Kf_add_dist,0.13259668508287292,0.08839779005524862,0.052486187845303865,0.03729281767955801,0.022099447513812154,724
IGRP_WF_17_Kf_add_dist,0.20441988950276244,0.1685082872928177,0.12154696132596685,0.09392265193370165,0.06629834254143646,724
IGRP_WF_18_Kf_add_dist,0.10911602209944751,0.09392265193370165,0.055248618784530384,0.034530386740331494,0.026243093922651933,724
IGRP_WF_19_Kf_add_dist,0.1850828729281768,0.1477900552486188,0.11049723756906077,0.07044198895027624,0.04696132596685083,724
IGRP_WF_1_Kf_add_dist,0.18232044198895028,0.15331491712707182,0.11049723756906077,0.07320441988950276,0.04696132596685083,724
IGRP_WF_20_Kf_add_dist,0.12569060773480664,0.09806629834254144,0.07458563535911603,0.05386740331491713,0.04143646408839779,724
IGRP_WF_21_Kf_add_dist,0.1477900552486188,0.09392265193370165,0.06767955801104972,0.04143646408839779,0.023480662983425413,724
IGRP_WF_22_Kf_add_dist,0.07458563535911603,0.052486187845303865,0.034530386740331494,0.016574585635359115,0.006906077348066298,724
IGRP_WF_23_Kf_add_dist,0.15883977900552487,0.1132596685082873,0.07596685082872928,0.03867403314917127,0.031767955801104975,724
IGRP_WF_24_Kf_add_dist,0.13812154696132597,0.09392265193370165,0.06629834254143646,0.04005524861878453,0.03314917127071823,724
IGRP_WF_25_Kf_add_dist,0.18370165745856354,0.14226519337016574,0.11602209944751381,0.08149171270718232,0.05110497237569061,724
IGRP_WF_26_Kf_add_dist,0.12845303867403315,0.106353591160221,0.0787292817679558,0.05110497237569061,0.03729281767955801,724
IGRP_WF_27_Kf_add_dist,0.19889502762430938,0.1574585635359116,0.12430939226519337,0.09392265193370165,0.06906077348066299,724
IGRP_WF_28_Kf_add_dist,0.09116022099447514,0.08011049723756906,0.04419889502762431,0.04005524861878453,0.024861878453038673,724
IGRP_WF_29_Kf_add_dist,0.20165745856353592,0.15883977900552487,0.11187845303867404,0.062154696132596686,0.03314917127071823,724
IGRP_WF_2_Kf_add_dist,0.08425414364640885,0.0718232044198895,0.05386740331491713,0.03038674033149171,0.026243093922651933,724
IGRP_WF_30_Kf_add_dist,0.11464088397790055,0.07596685082872928,0.049723756906077346,0.027624309392265192,0.011049723756906077,724
IGRP_WF_31_Kf_add_dist,0.19889502762430938,0.16160220994475138,0.10082872928176796,0.07320441988950276,0.04696132596685083,724
IGRP_WF_32_Kf_add_dist,0.11878453038674033,0.08977900552486189,0.06353591160220995,0.04558011049723757,0.026243093922651933,724
