model_name,TP (Kas_Gearty_no_cut),FP (Kas_Gearty_no_cut),TN (Kas_Gearty_no_cut),FN (Kas_Gearty_no_cut),accuracy (Kas_Gearty_no_cut),precision (Kas_Gearty_no_cut),recall (Kas_Gearty_no_cut),specificity (Kas_Gearty_no_cut),f1_score (Kas_Gearty_no_cut),b_accuracy (Kas_Gearty_no_cut),AUC_value_inf (Kas_Gearty_no_cut),AUC_value_trn (Kas_Gearty_no_cut),mcc (Kas_Gearty_no_cut),log_loss (Kas_Gearty_no_cut),kappa (Kas_Gearty_no_cut),fall_out (Kas_Gearty_no_cut),miss_rate (Kas_Gearty_no_cut),NPV (Kas_Gearty_no_cut),lr_plus (Kas_Gearty_no_cut),lr_minus (Kas_Gearty_no_cut)
IGRP_WF_1_Kf_add_dist,8791.0,1574.0,12427.0,5078.0,0.7613204162181557,0.8481427882296189,0.6338596870718869,0.8875794586100992,0.7255096145910704,0.760719572840993,0.8007721516178384,1.0,0.5394361197072383,0.6302113297192569,0.5220609088680994,0.11242054138990072,0.36614031292811305,0.7099114538703227,5.638290647200438,0.4125155324138176
IGRP_WF_2_Kf_add_dist,7339.0,536.0,13465.0,6530.0,0.7464657337639038,0.931936507936508,0.5291657653760184,0.9617170202128421,0.6750367917586461,0.7454413927944301,0.8034119566740463,1.0,0.5451222626036382,0.5969152001167805,0.4918849061351808,0.03828297978715806,0.4708342346239816,0.6734183545886472,13.822481121323946,0.4895766891177398
IGRP_WF_3_Kf_add_dist,8121.0,1736.0,12265.0,5748.0,0.7314675278076785,0.8238815055290657,0.5855505083279255,0.8760088565102493,0.6845654556183091,0.7307796824190874,0.8006713945203043,1.0,0.4826855149367426,0.6778038040442431,0.4621896264414758,0.12399114348975075,0.4144494916720744,0.6808971298506634,4.722518817453505,0.4731110748390309
IGRP_WF_4_Kf_add_dist,7775.0,1106.0,12895.0,6094.0,0.7416576964477933,0.8754644747213152,0.5606027831855217,0.9210056424541104,0.6835164835164835,0.7408042128198159,0.814880053297389,1.0,0.5167901123758257,0.6045431192026309,0.4824263199185067,0.07899435754588957,0.4393972168144784,0.6790773605771763,7.096744635967893,0.4770841746893766
IGRP_WF_5_Kf_add_dist,7897.0,1731.0,12270.0,5972.0,0.7236096160746323,0.8202118820108019,0.5693993799120339,0.87636597385901,0.6721709154360131,0.7228826768855221,0.787237066783684,1.0,0.4687099210030077,0.6332808346424424,0.446408842275024,0.12363402614098995,0.430600620087966,0.6726236158315975,4.6055232340545285,0.4913479447311827
IGRP_WF_6_Kf_add_dist,7809.0,552.0,13449.0,6060.0,0.7627556512378902,0.9339791890922141,0.5630542937486479,0.9605742446968074,0.7025641025641025,0.7618142692227277,0.8039779962978553,1.0,0.5713191665235569,0.5702301848734584,0.5246106725335403,0.03942575530319263,0.4369457062513519,0.6893741350146086,14.281382548505109,0.454879681256984
IGRP_WF_7_Kf_add_dist,8374.0,2076.0,11925.0,5495.0,0.7283458916397559,0.8013397129186602,0.6037926310476602,0.8517248767945147,0.6886796332086024,0.7277587539210875,0.7896038286028507,1.0,0.4704624382894354,0.6915487964102828,0.45604747491566494,0.14827512320548533,0.39620736895233977,0.6845579793340988,4.072110128756402,0.4651823373334766
IGRP_WF_8_Kf_add_dist,7156.0,839.0,13162.0,6713.0,0.7290276282741299,0.8950594121325829,0.5159708702862499,0.9400757088779372,0.6545920234174899,0.7280232895820936,0.8007202461342684,1.0,0.5041369174723077,0.5988658584583154,0.4569589067794453,0.05992429112206271,0.4840291297137501,0.6622389937106918,8.610379207244081,0.5148831366906409
IGRP_WF_9_Kf_add_dist,8180.0,1674.0,12327.0,5689.0,0.7358091137423753,0.8301197483255529,0.5898046001874685,0.8804371116348833,0.6896261012519496,0.7351208559111759,0.7954738346228877,1.0,0.4917991638490826,0.6603629240074108,0.4708843100172834,0.11956288836511678,0.4101953998125316,0.6842251332149201,4.933007292248953,0.4658997154843234
IGRP_WF_10_Kf_add_dist,7959.0,1219.0,12782.0,5910.0,0.7442052386078221,0.8671823926781433,0.5738697815271468,0.9129347903721162,0.6906755759968759,0.7434022859496315,0.8077708405499027,1.0,0.517910644834103,0.611524487504382,0.4875819867227394,0.08706520962788372,0.4261302184728532,0.6838219559169698,6.591263996030833,0.4667696126457845
IGRP_WF_11_Kf_add_dist,8302.0,1768.0,12233.0,5567.0,0.7368137782561894,0.824428997020854,0.5986011969139808,0.8737233054781801,0.6935962237353273,0.7361622511960805,0.7945402337252581,1.0,0.4916067543252174,0.7163248077101115,0.4729351780999797,0.12627669452181986,0.4013988030860192,0.687247191011236,4.74039330203204,0.4594118075702898
IGRP_WF_12_Kf_add_dist,8124.0,1246.0,12755.0,5745.0,0.749156799425906,0.8670224119530416,0.5857668180834955,0.911006356688808,0.6991694995481733,0.7483865873861517,0.7983265196249566,1.0,0.525780625322787,0.6731336768621002,0.4975339887442905,0.08899364331119207,0.4142331819165044,0.6894594594594594,6.582119759219117,0.45469845394064895
IGRP_WF_13_Kf_add_dist,7922.0,1639.0,12362.0,5947.0,0.7278076785073556,0.8285744169019977,0.5712019612084505,0.8829369330762088,0.6762270593256509,0.7270694471423296,0.7956434840318076,1.0,0.4783071011826794,0.6508378834183123,0.4548048425724242,0.11706306692379115,0.4287980387915495,0.675187066470042,4.879437863867916,0.4856496797541243
IGRP_WF_14_Kf_add_dist,6762.0,539.0,13462.0,7107.0,0.7256548259777539,0.9261744966442952,0.4875621890547264,0.9615027498035854,0.6388285309400095,0.7245324694291558,0.8009331853035704,1.0,0.5106384192808475,0.5910896585496349,0.45006967639823936,0.03849725019641453,0.5124378109452736,0.6544800427828286,12.664857530529172,0.5329551174450139
IGRP_WF_15_Kf_add_dist,8126.0,1911.0,12090.0,5743.0,0.725367778973807,0.8096044634851051,0.5859110245872089,0.8635097493036211,0.6798293315485652,0.724710386945415,0.7826299079437529,1.0,0.4681026268521401,0.7143243303623051,0.4500068909965931,0.13649025069637882,0.4140889754127911,0.677956597319576,4.29269505768996,0.4795417489457807
IGRP_WF_16_Kf_add_dist,7090.0,840.0,13161.0,6779.0,0.7266236096160746,0.8940731399747793,0.5112120556637104,0.9400042854081851,0.6504885545208495,0.7256081705359478,0.8137028354880598,1.0,0.5000204317100791,0.5713274820891195,0.4521290145599651,0.059995714591814873,0.4887879443362896,0.6600300902708124,8.520809513509061,0.5199848042437801
IGRP_WF_17_Kf_add_dist,9163.0,1920.0,12081.0,4706.0,0.7622533189809831,0.8267617071190111,0.660682096762564,0.8628669380758517,0.7344501442770118,0.7617745174192079,0.8042578553804669,1.0,0.5348650905099079,0.6697283468081389,0.5240452724196216,0.1371330619241483,0.33931790323743605,0.7196640257341991,4.817817727485759,0.3932447614624072
IGRP_WF_18_Kf_add_dist,7572.0,697.0,13304.0,6297.0,0.7490491567994259,0.9157092756076912,0.5459658230586201,0.950217841582744,0.6840726352877405,0.748091832320682,0.8134903237575055,1.0,0.5430989384426629,0.5696525256075453,0.4971298966619773,0.04978215841725591,0.45403417694138,0.6787408805673181,10.967098262042663,0.4778211448704346
IGRP_WF_19_Kf_add_dist,8015.0,1731.0,12270.0,5854.0,0.7278435593828492,0.8223886722758055,0.5779075636311197,0.87636597385901,0.6788058437433835,0.7271367687450649,0.7941386678966191,1.0,0.4762986060280396,0.6713805812800482,0.4549110365371624,0.12363402614098995,0.4220924363688802,0.6770028691238137,4.674340726978224,0.4816394622331453
IGRP_WF_20_Kf_add_dist,8488.0,1377.0,12624.0,5381.0,0.7575170434158593,0.8604156107450582,0.6120124017593194,0.901649882151275,0.7152608072806944,0.7568311419552971,0.7989364515432853,1.0,0.5370746729889481,0.6238022209811916,0.51436229178152,0.09835011784872508,0.38798759824068063,0.7011385726187171,6.222792764729289,0.43030848882824535
IGRP_WF_21_Kf_add_dist,7557.0,912.0,13089.0,6312.0,0.7407965554359527,0.8923131420474673,0.54488427428077,0.9348617955860296,0.6766048885307547,0.7398730349333997,0.8046633505556644,1.0,0.5215373347329574,0.6119479240461814,0.4806282205175061,0.06513820441397042,0.4551157257192299,0.6746559455698161,8.365049039698533,0.4868267458014316
IGRP_WF_22_Kf_add_dist,5308.0,439.0,13562.0,8561.0,0.6770721205597416,0.9236123194710284,0.3827240608551445,0.9686450967788016,0.5411908646003263,0.675684578816973,0.7974468609822782,1.0,0.4342333060321471,0.6944556534324399,0.3523418307747982,0.03135490322119849,0.6172759391448555,0.6130271662975184,12.206194934015667,0.6372570729956586
IGRP_WF_23_Kf_add_dist,7407.0,1033.0,12968.0,6462.0,0.7310728381772515,0.87760663507109,0.5340687865022713,0.926219555746018,0.6640369357658344,0.7301441711241448,0.7834349630753947,1.0,0.5008693470471008,0.6279346139741655,0.4611392680241369,0.07378044425398186,0.4659312134977288,0.667421513124035,7.238622536126138,0.5030461844680522
IGRP_WF_24_Kf_add_dist,6933.0,935.0,13066.0,6936.0,0.7175816289917474,0.8811642094560244,0.499891845122215,0.9332190557817299,0.6378985140543774,0.7165554504519724,0.7901464852672241,1.0,0.4810966461663269,0.6294828187386566,0.4339961167962009,0.06678094421827012,0.500108154877785,0.6532346765323468,7.48554622840228,0.5358957811452524
IGRP_WF_25_Kf_add_dist,8905.0,1610.0,12391.0,4964.0,0.7641191245066379,0.8468854018069425,0.642079457783546,0.8850082136990215,0.7303969816272966,0.7635438357412838,0.8088758031863745,1.0,0.5437108662377227,0.6353879884800165,0.5276892343545337,0.1149917863009785,0.357920542216454,0.7139729184673005,5.583698440017036,0.40442623771871294
IGRP_WF_26_Kf_add_dist,6809.0,1074.0,12927.0,7060.0,0.7081449587369932,0.8637574527464164,0.4909510418919894,0.9232911934861796,0.6260573740345715,0.7071211176890845,0.7948042955987369,1.0,0.4598719378908882,0.6369275537007035,0.4150867658640274,0.07670880651382044,0.5090489581080107,0.6467704007604943,6.400191375726018,0.551341723715499
IGRP_WF_27_Kf_add_dist,9200.0,1893.0,12108.0,4669.0,0.7645496950125583,0.829351843504913,0.6633499170812603,0.8647953717591601,0.7371204230430254,0.7640726444202102,0.8002026873341851,1.0,0.5394781422211355,0.6813211756559897,0.5286440843904663,0.13520462824083995,0.3366500829187397,0.7217023305716159,4.9062663439274825,0.3892829378051928
IGRP_WF_28_Kf_add_dist,6862.0,429.0,13572.0,7007.0,0.7331898098313598,0.9411603346591688,0.4947725142403922,0.9693593314763232,0.6485822306238185,0.7320659228583577,0.7919114777031804,1.0,0.5280046984136658,0.6011635440449435,0.4651718785572561,0.030640668523676882,0.5052274857596077,0.6595072646873026,16.14757569202735,0.5211973200795953
IGRP_WF_29_Kf_add_dist,9040.0,1761.0,12240.0,4829.0,0.7635450304987441,0.8369595407832608,0.6518133967841949,0.8742232697664453,0.7328739359546007,0.7630183332753201,0.8008777341383415,1.0,0.5398611763235805,0.6302385120143011,0.5265857827000973,0.12577673023355473,0.34818660321580497,0.7170894604253325,5.182305149560201,0.3982810973549417
IGRP_WF_30_Kf_add_dist,6560.0,593.0,13408.0,7309.0,0.7164693218514532,0.9170977212358452,0.4729973321796813,0.9576458824369688,0.6241080772524022,0.7153216073083251,0.8072305013245219,1.0,0.4929605494430898,0.6235240627306767,0.4316284965712702,0.042354117563031216,0.5270026678203187,0.6471979533716272,11.167682374110825,0.5503105871235293
