model_name,TP (Kas_Gearty_no_cut)_rk,FP (Kas_Gearty_no_cut)_rk,TN (Kas_Gearty_no_cut)_rk,FN (Kas_Gearty_no_cut)_rk,accuracy (Kas_Gearty_no_cut)_rk,precision (Kas_Gearty_no_cut)_rk,recall (Kas_Gearty_no_cut)_rk,specificity (Kas_Gearty_no_cut)_rk,f1_score (Kas_Gearty_no_cut)_rk,b_accuracy (Kas_Gearty_no_cut)_rk,AUC_value_inf (Kas_Gearty_no_cut)_rk,AUC_value_trn (Kas_Gearty_no_cut)_rk,mcc (Kas_Gearty_no_cut)_rk,log_loss (Kas_Gearty_no_cut)_rk,kappa (Kas_Gearty_no_cut)_rk,fall_out (Kas_Gearty_no_cut)_rk,miss_rate (Kas_Gearty_no_cut)_rk,NPV (Kas_Gearty_no_cut)_rk,lr_plus (Kas_Gearty_no_cut)_rk,lr_minus (Kas_Gearty_no_cut)_rk
IGRP_WF_37_Mc_add_dist,15.0,28.0,69.0,82.0,58.0,68.0,15.0,69.0,36.0,57.0,72.0,1.0,61.0,58.0,57.0,28.0,82.0,14.0,68.0,83.0
IGRP_WF_38_Mc_add_dist,60.0,71.0,26.0,37.0,14.0,25.0,60.0,26.0,17.0,14.0,65.0,1.0,18.0,91.0,14.0,71.0,37.0,30.0,25.0,67.0
IGRP_WF_39_Mc_add_dist,1.0,6.0,91.0,96.0,8.0,74.0,1.0,91.0,1.0,7.0,78.0,1.0,26.0,25.0,7.0,6.0,96.0,1.0,74.0,96.0
IGRP_WF_40_Mc_add_dist,86.0,63.0,33.0,11.0,75.0,41.0,86.0,33.0,90.0,75.0,74.0,1.0,70.0,66.0,75.0,63.0,11.0,91.0,41.0,6.0
IGRP_WF_41_Mc_add_dist,37.0,31.0,66.0,60.0,64.0,69.0,37.0,66.0,58.0,64.0,64.0,1.0,69.0,32.0,64.0,31.0,60.0,54.0,69.0,43.0
IGRP_WF_42_Mc_add_dist,56.0,61.0,36.0,41.0,24.0,32.0,56.0,36.0,33.0,24.0,41.0,1.0,27.0,53.0,24.0,61.0,41.0,39.0,32.0,58.0
IGRP_WF_43_Mc_add_dist,14.0,34.0,63.0,83.0,40.0,62.0,14.0,63.0,12.0,40.0,90.0,1.0,46.0,4.0,40.0,34.0,83.0,7.0,62.0,90.0
IGRP_WF_44_Mc_add_dist,46.0,58.0,39.0,51.0,23.0,35.0,46.0,39.0,20.0,23.0,1.0,1.0,30.0,85.0,23.0,58.0,51.0,25.0,35.0,72.0
IGRP_WF_45_Mc_add_dist,21.0,25.0,72.0,75.0,65.0,73.0,21.0,72.0,55.0,65.0,52.0,1.0,71.0,52.0,65.0,25.0,75.0,32.0,73.0,65.0
IGRP_WF_46_Mc_add_dist,49.0,53.0,44.0,48.0,39.0,43.0,49.0,44.0,46.0,39.0,34.0,1.0,37.0,75.0,39.0,53.0,48.0,47.0,43.0,50.0
IGRP_WF_47_Mc_add_dist,63.0,23.0,74.0,34.0,92.0,80.0,63.0,74.0,85.0,92.0,82.0,1.0,93.0,36.0,92.0,23.0,34.0,80.0,80.0,17.0
IGRP_WF_48_Mc_add_dist,41.0,57.0,40.0,56.0,19.0,36.0,41.0,40.0,6.0,19.0,24.0,1.0,23.0,84.0,19.0,57.0,56.0,12.0,36.0,85.0
IGRP_WF_49_Mc_add_dist,33.0,39.0,58.0,64.0,47.0,57.0,33.0,58.0,31.0,46.0,26.0,1.0,51.0,49.0,46.0,39.0,64.0,17.0,57.0,80.0
IGRP_WF_50_Mc_add_dist,67.0,82.0,15.0,30.0,5.0,14.0,67.0,15.0,16.0,5.0,22.0,1.0,4.0,83.0,5.0,82.0,30.0,37.0,14.0,60.0
IGRP_WF_51_Mc_add_dist,74.0,30.0,67.0,23.0,91.0,75.0,74.0,67.0,86.0,91.0,87.0,1.0,90.0,1.0,91.0,30.0,23.0,82.0,75.0,15.0
IGRP_WF_52_Mc_add_dist,47.0,62.0,35.0,50.0,15.0,31.0,47.0,35.0,9.0,15.0,11.0,1.0,21.0,55.0,15.0,62.0,50.0,18.0,31.0,79.0
IGRP_WF_53_Mc_add_dist,29.0,36.0,61.0,68.0,48.0,60.0,29.0,61.0,30.0,48.0,69.0,1.0,53.0,65.0,48.0,36.0,68.0,16.0,60.0,81.0
IGRP_WF_54_Mc_add_dist,77.0,81.0,16.0,20.0,18.0,16.0,77.0,16.0,38.0,18.0,20.0,1.0,13.0,93.0,18.0,81.0,20.0,63.0,16.0,34.0
IGRP_WF_55_Mc_add_dist,42.0,17.0,80.0,55.0,86.0,81.0,42.0,80.0,80.0,86.0,88.0,1.0,86.0,31.0,86.0,17.0,55.0,74.0,81.0,23.0
IGRP_WF_56_Mc_add_dist,52.0,65.0,32.0,45.0,12.0,29.0,52.0,32.0,13.0,12.0,32.0,1.0,19.0,89.0,12.0,65.0,45.0,24.0,29.0,73.0
IGRP_WF_57_Mc_add_dist,7.0,29.0,68.0,90.0,54.0,66.0,7.0,68.0,21.0,53.0,16.0,1.0,57.0,51.0,53.0,29.0,90.0,9.0,66.0,88.0
IGRP_WF_58_Mc_add_dist,62.0,60.0,37.0,35.0,31.0,34.0,62.0,37.0,42.0,31.0,6.0,1.0,33.0,81.0,31.0,60.0,35.0,56.0,34.0,41.0
IGRP_WF_59_Mc_add_dist,27.0,38.0,59.0,70.0,45.0,58.0,27.0,59.0,26.0,45.0,84.0,1.0,49.0,8.0,45.0,38.0,70.0,15.0,58.0,82.0
IGRP_WF_60_Mc_add_dist,61.0,68.0,29.0,36.0,17.0,27.0,61.0,29.0,19.0,17.0,48.0,1.0,20.0,39.0,17.0,68.0,36.0,33.0,27.0,64.0
IGRP_WF_61_Mc_add_dist,35.0,42.0,54.0,62.0,42.0,54.0,35.0,54.0,29.0,42.0,25.0,1.0,45.0,74.0,42.0,42.0,62.0,19.0,54.0,78.0
IGRP_WF_62_Mc_add_dist,70.0,78.0,19.0,26.0,11.0,19.0,70.0,19.0,27.0,11.0,5.0,1.0,9.0,90.0,11.0,78.0,26.0,49.0,19.0,48.0
IGRP_WF_63_Mc_add_dist,6.0,33.0,64.0,91.0,35.0,63.0,6.0,64.0,5.0,35.0,89.0,1.0,43.0,21.0,35.0,33.0,91.0,4.0,63.0,93.0
IGRP_WF_64_Mc_add_dist,43.0,45.0,52.0,54.0,49.0,51.0,43.0,52.0,44.0,49.0,75.0,1.0,52.0,76.0,49.0,45.0,54.0,36.0,51.0,61.0
IGRP_WF_65_Mc_add_dist,32.0,8.0,89.0,65.0,90.0,91.0,32.0,89.0,76.0,90.0,71.0,1.0,91.0,9.0,90.0,8.0,65.0,72.0,91.0,25.0
