model_name,TP (Kas_Gearty_no_cut)_rk,FP (Kas_Gearty_no_cut)_rk,TN (Kas_Gearty_no_cut)_rk,FN (Kas_Gearty_no_cut)_rk,accuracy (Kas_Gearty_no_cut)_rk,precision (Kas_Gearty_no_cut)_rk,recall (Kas_Gearty_no_cut)_rk,specificity (Kas_Gearty_no_cut)_rk,f1_score (Kas_Gearty_no_cut)_rk,b_accuracy (Kas_Gearty_no_cut)_rk,AUC_value_inf (Kas_Gearty_no_cut)_rk,AUC_value_trn (Kas_Gearty_no_cut)_rk,mcc (Kas_Gearty_no_cut)_rk,log_loss (Kas_Gearty_no_cut)_rk,kappa (Kas_Gearty_no_cut)_rk,fall_out (Kas_Gearty_no_cut)_rk,miss_rate (Kas_Gearty_no_cut)_rk,NPV (Kas_Gearty_no_cut)_rk,lr_plus (Kas_Gearty_no_cut)_rk,lr_minus (Kas_Gearty_no_cut)_rk
IGRP_WF_1_Kf_add_dist,49.0,33.0,63.0,48.0,66.0,72.0,49.0,63.0,61.0,65.0,59.0,1.0,74.0,41.0,66.0,33.0,48.0,62.0,72.0,35.0
IGRP_WF_2_Kf_add_dist,84.0,85.0,11.0,13.0,83.0,7.0,84.0,11.0,83.0,83.0,40.0,1.0,68.0,79.0,83.0,85.0,13.0,83.0,7.0,14.0
IGRP_WF_3_Kf_add_dist,25.0,14.0,83.0,72.0,39.0,85.0,25.0,83.0,28.0,39.0,61.0,1.0,61.0,12.0,39.0,14.0,72.0,29.0,85.0,68.0
IGRP_WF_4_Kf_add_dist,58.0,49.0,48.0,39.0,52.0,46.0,58.0,48.0,57.0,52.0,2.0,1.0,47.0,69.0,52.0,49.0,39.0,56.0,46.0,41.0
IGRP_WF_5_Kf_add_dist,44.0,30.0,67.0,53.0,59.0,74.0,44.0,67.0,47.0,59.0,94.0,1.0,70.0,38.0,59.0,30.0,53.0,47.0,74.0,50.0
IGRP_WF_6_Kf_add_dist,65.0,87.0,10.0,32.0,30.0,2.0,65.0,10.0,60.0,30.0,35.0,1.0,23.0,95.0,30.0,87.0,32.0,59.0,2.0,38.0
IGRP_WF_7_Kf_add_dist,23.0,3.0,94.0,74.0,67.0,94.0,23.0,94.0,38.0,67.0,93.0,1.0,81.0,7.0,67.0,3.0,74.0,38.0,94.0,59.0
IGRP_WF_8_Kf_add_dist,73.0,62.0,34.0,24.0,70.0,37.0,73.0,34.0,76.0,70.0,60.0,1.0,53.0,78.0,70.0,62.0,24.0,76.0,37.0,21.0
IGRP_WF_9_Kf_add_dist,28.0,16.0,81.0,69.0,51.0,86.0,28.0,81.0,31.0,50.0,81.0,1.0,66.0,17.0,51.0,16.0,69.0,31.0,86.0,66.0
IGRP_WF_10_Kf_add_dist,77.0,42.0,55.0,20.0,84.0,63.0,77.0,55.0,79.0,84.0,13.0,1.0,83.0,61.0,84.0,42.0,20.0,80.0,63.0,17.0
IGRP_WF_11_Kf_add_dist,27.0,17.0,80.0,70.0,45.0,84.0,27.0,80.0,30.0,44.0,85.0,1.0,65.0,2.0,45.0,17.0,70.0,30.0,84.0,67.0
IGRP_WF_12_Kf_add_dist,21.0,40.0,57.0,76.0,16.0,55.0,21.0,57.0,17.0,16.0,70.0,1.0,20.0,13.0,16.0,40.0,76.0,17.0,55.0,80.0
IGRP_WF_13_Kf_add_dist,31.0,20.0,77.0,66.0,57.0,82.0,31.0,77.0,37.0,56.0,80.0,1.0,69.0,22.0,57.0,20.0,66.0,37.0,82.0,60.0
IGRP_WF_14_Kf_add_dist,85.0,91.0,6.0,12.0,81.0,1.0,85.0,6.0,84.0,81.0,55.0,1.0,60.0,88.0,81.0,91.0,12.0,84.0,1.0,13.0
IGRP_WF_15_Kf_add_dist,45.0,4.0,93.0,52.0,82.0,96.0,45.0,93.0,70.0,82.0,96.0,1.0,89.0,3.0,82.0,4.0,52.0,71.0,96.0,26.0
