model_name,TP (Kas_Gearty_no_cut)_rk,FP (Kas_Gearty_no_cut)_rk,TN (Kas_Gearty_no_cut)_rk,FN (Kas_Gearty_no_cut)_rk,accuracy (Kas_Gearty_no_cut)_rk,precision (Kas_Gearty_no_cut)_rk,recall (Kas_Gearty_no_cut)_rk,specificity (Kas_Gearty_no_cut)_rk,f1_score (Kas_Gearty_no_cut)_rk,b_accuracy (Kas_Gearty_no_cut)_rk,AUC_value_inf (Kas_Gearty_no_cut)_rk,AUC_value_trn (Kas_Gearty_no_cut)_rk,mcc (Kas_Gearty_no_cut)_rk,log_loss (Kas_Gearty_no_cut)_rk,kappa (Kas_Gearty_no_cut)_rk,fall_out (Kas_Gearty_no_cut)_rk,miss_rate (Kas_Gearty_no_cut)_rk,NPV (Kas_Gearty_no_cut)_rk,lr_plus (Kas_Gearty_no_cut)_rk,lr_minus (Kas_Gearty_no_cut)_rk
IGRP_WF_1_Kf_add_dist,20.0,17.0,80.0,77.0,53.0,79.0,20.0,80.0,41.0,53.0,59.0,1.0,64.0,41.0,53.0,17.0,77.0,39.0,79.0,58.0
IGRP_WF_2_Kf_add_dist,91.0,89.0,8.0,6.0,66.0,9.0,91.0,8.0,88.0,68.0,40.0,1.0,43.0,79.0,67.0,89.0,6.0,90.0,9.0,7.0
IGRP_WF_3_Kf_add_dist,17.0,26.0,71.0,80.0,41.0,68.0,17.0,71.0,29.0,41.0,61.0,1.0,49.0,12.0,41.0,26.0,80.0,20.0,68.0,77.0
IGRP_WF_4_Kf_add_dist,39.0,61.0,36.0,58.0,4.0,29.0,39.0,36.0,7.0,4.0,2.0,1.0,7.0,69.0,4.0,61.0,58.0,15.0,29.0,82.0
IGRP_WF_5_Kf_add_dist,21.0,24.0,73.0,76.0,44.0,71.0,21.0,73.0,35.0,44.0,94.0,1.0,54.0,38.0,44.0,24.0,76.0,30.0,71.0,67.0
IGRP_WF_6_Kf_add_dist,57.0,80.0,17.0,40.0,15.0,13.0,57.0,17.0,46.0,16.0,35.0,1.0,9.0,95.0,15.0,80.0,40.0,53.0,13.0,44.0
IGRP_WF_7_Kf_add_dist,2.0,3.0,94.0,95.0,55.0,91.0,2.0,94.0,32.0,55.0,93.0,1.0,68.0,7.0,55.0,3.0,95.0,8.0,91.0,89.0
IGRP_WF_8_Kf_add_dist,92.0,71.0,26.0,5.0,93.0,34.0,92.0,26.0,93.0,93.0,60.0,1.0,83.0,78.0,93.0,71.0,5.0,93.0,34.0,4.0
IGRP_WF_9_Kf_add_dist,19.0,34.0,63.0,78.0,32.0,59.0,19.0,63.0,17.0,32.0,81.0,1.0,38.0,17.0,32.0,34.0,78.0,13.0,59.0,84.0
IGRP_WF_10_Kf_add_dist,37.0,53.0,44.0,60.0,14.0,36.0,37.0,44.0,11.0,14.0,13.0,1.0,17.0,61.0,14.0,53.0,60.0,17.0,36.0,80.0
IGRP_WF_11_Kf_add_dist,63.0,32.0,65.0,34.0,87.0,74.0,63.0,65.0,74.0,87.0,85.0,1.0,89.0,2.0,87.0,32.0,34.0,71.0,74.0,26.0
IGRP_WF_12_Kf_add_dist,61.0,46.0,51.0,36.0,62.0,53.0,61.0,51.0,62.0,61.0,70.0,1.0,63.0,13.0,62.0,46.0,36.0,61.0,53.0,36.0
IGRP_WF_13_Kf_add_dist,67.0,40.0,57.0,30.0,84.0,64.0,67.0,57.0,73.0,84.0,80.0,1.0,84.0,22.0,84.0,40.0,30.0,73.0,64.0,24.0
IGRP_WF_14_Kf_add_dist,58.0,88.0,9.0,39.0,5.0,8.0,58.0,9.0,38.0,5.0,55.0,1.0,4.0,88.0,5.0,88.0,39.0,51.0,8.0,46.0
