model_name,TP (Kas_Gearty_no_cut)_rk,FP (Kas_Gearty_no_cut)_rk,TN (Kas_Gearty_no_cut)_rk,FN (Kas_Gearty_no_cut)_rk,accuracy (Kas_Gearty_no_cut)_rk,precision (Kas_Gearty_no_cut)_rk,recall (Kas_Gearty_no_cut)_rk,specificity (Kas_Gearty_no_cut)_rk,f1_score (Kas_Gearty_no_cut)_rk,b_accuracy (Kas_Gearty_no_cut)_rk,AUC_value_inf (Kas_Gearty_no_cut)_rk,AUC_value_trn (Kas_Gearty_no_cut)_rk,mcc (Kas_Gearty_no_cut)_rk,log_loss (Kas_Gearty_no_cut)_rk,kappa (Kas_Gearty_no_cut)_rk,fall_out (Kas_Gearty_no_cut)_rk,miss_rate (Kas_Gearty_no_cut)_rk,NPV (Kas_Gearty_no_cut)_rk,lr_plus (Kas_Gearty_no_cut)_rk,lr_minus (Kas_Gearty_no_cut)_rk
IGRP_WF_1_Kf_add_dist,47.0,24.0,73.0,50.0,52.0,76.0,47.0,73.0,47.0,52.0,59.0,1.0,60.0,41.0,52.0,24.0,50.0,49.0,76.0,48.0
IGRP_WF_2_Kf_add_dist,70.0,78.0,19.0,27.0,69.0,12.0,70.0,19.0,70.0,69.0,40.0,1.0,65.0,79.0,69.0,78.0,27.0,70.0,12.0,27.0
IGRP_WF_3_Kf_add_dist,21.0,11.0,85.0,76.0,31.0,86.0,21.0,85.0,23.0,31.0,61.0,1.0,39.0,12.0,31.0,11.0,76.0,22.0,86.0,75.0
IGRP_WF_4_Kf_add_dist,32.0,42.0,55.0,65.0,15.0,48.0,32.0,55.0,26.0,15.0,2.0,1.0,12.0,69.0,15.0,42.0,65.0,25.0,48.0,72.0
IGRP_WF_5_Kf_add_dist,31.0,19.0,78.0,66.0,37.0,79.0,31.0,78.0,35.0,37.0,94.0,1.0,37.0,38.0,37.0,19.0,66.0,37.0,79.0,60.0
IGRP_WF_6_Kf_add_dist,55.0,87.0,10.0,42.0,46.0,1.0,55.0,10.0,53.0,46.0,35.0,1.0,26.0,95.0,46.0,87.0,42.0,52.0,1.0,45.0
IGRP_WF_7_Kf_add_dist,18.0,3.0,94.0,79.0,42.0,94.0,18.0,94.0,28.0,42.0,93.0,1.0,59.0,7.0,42.0,3.0,79.0,30.0,94.0,67.0
IGRP_WF_8_Kf_add_dist,43.0,48.0,49.0,54.0,40.0,46.0,43.0,49.0,44.0,40.0,60.0,1.0,28.0,78.0,40.0,48.0,54.0,44.0,46.0,53.0
IGRP_WF_9_Kf_add_dist,6.0,9.0,88.0,91.0,14.0,88.0,6.0,88.0,11.0,14.0,81.0,1.0,33.0,17.0,14.0,9.0,91.0,11.0,88.0,86.0
IGRP_WF_10_Kf_add_dist,53.0,28.0,69.0,44.0,62.0,75.0,53.0,69.0,55.0,61.0,13.0,1.0,69.0,61.0,62.0,28.0,44.0,55.0,75.0,42.0
IGRP_WF_11_Kf_add_dist,2.0,15.0,82.0,95.0,4.0,81.0,2.0,82.0,3.0,4.0,85.0,1.0,9.0,2.0,4.0,15.0,95.0,3.0,81.0,94.0
IGRP_WF_12_Kf_add_dist,54.0,31.0,66.0,43.0,60.0,72.0,54.0,66.0,54.0,60.0,70.0,1.0,66.0,13.0,60.0,31.0,43.0,54.0,72.0,43.0
IGRP_WF_13_Kf_add_dist,29.0,14.0,83.0,68.0,41.0,85.0,29.0,83.0,36.0,41.0,80.0,1.0,50.0,22.0,41.0,14.0,68.0,40.0,85.0,57.0
IGRP_WF_14_Kf_add_dist,86.0,88.0,8.0,11.0,85.0,6.0,86.0,8.0,85.0,85.0,55.0,1.0,84.0,88.0,85.0,88.0,11.0,85.0,6.0,12.0
IGRP_WF_15_Kf_add_dist,24.0,1.0,96.0,73.0,49.0,96.0,24.0,96.0,40.0,48.0,96.0,1.0,74.0,3.0,48.0,1.0,73.0,42.0,96.0,55.0
IGRP_WF_16_Kf_add_dist,87.0,85.0,12.0,10.0,86.0,13.0,87.0,12.0,87.0,86.0,3.0,1.0,86.0,94.0,86.0,85.0,10.0,87.0,13.0,10.0
IGRP_WF_17_Kf_add_dist,5.0,13.0,84.0,92.0,9.0,82.0,5.0,84.0,5.0,9.0,31.0,1.0,17.0,16.0,9.0,13.0,92.0,5.0,82.0,92.0
