model name,t50_bld_spt,t60_bld_spt,t70_bld_spt,t80_bld_spt,t90_bld_spt,nseq_bld_spt
IGRP_WF_10_Kf_add_dist,0.2393538913362702,0.2026431718061674,0.1512481644640235,0.08663729809104258,0.06607929515418502,681
IGRP_WF_11_Kf_add_dist,0.24082232011747431,0.20411160058737152,0.1762114537444934,0.13362701908957417,0.10425844346549193,681
IGRP_WF_12_Kf_add_dist,0.21585903083700442,0.17327459618208516,0.14831130690161526,0.11160058737151249,0.06754772393538913,681
IGRP_WF_13_Kf_add_dist,0.25697503671071953,0.20411160058737152,0.1776798825256975,0.13656387665198239,0.0881057268722467,681
IGRP_WF_14_Kf_add_dist,0.18502202643171806,0.14537444933920704,0.10425844346549193,0.05726872246696035,0.041116005873715125,681
IGRP_WF_15_Kf_add_dist,0.2936857562408223,0.23788546255506607,0.19383259911894274,0.16152716593245228,0.11160058737151249,681
IGRP_WF_16_Kf_add_dist,0.18795888399412627,0.13069016152716592,0.10425844346549193,0.06754772393538913,0.042584434654919234,681
IGRP_WF_17_Kf_add_dist,0.3010279001468429,0.2422907488986784,0.19089574155653452,0.13803230543318648,0.08076358296622614,681
IGRP_WF_18_Kf_add_dist,0.1644640234948605,0.14390602055800295,0.1013215859030837,0.08957415565345081,0.049926578560939794,681
IGRP_WF_19_Kf_add_dist,0.2701908957415565,0.21585903083700442,0.18061674008810572,0.12922173274596183,0.07488986784140969,681
IGRP_WF_1_Kf_add_dist,0.28193832599118945,0.21292217327459617,0.1644640234948605,0.1130690161527166,0.08516886930983847,681
IGRP_WF_20_Kf_add_dist,0.19089574155653452,0.1512481644640235,0.1277533039647577,0.08076358296622614,0.06607929515418502,681
IGRP_WF_21_Kf_add_dist,0.22466960352422907,0.16299559471365638,0.12922173274596183,0.08663729809104258,0.04698972099853157,681
IGRP_WF_22_Kf_add_dist,0.11894273127753303,0.08370044052863436,0.06167400881057269,0.04405286343612335,0.002936857562408223,681
IGRP_WF_23_Kf_add_dist,0.2305433186490455,0.15712187958883994,0.12334801762114538,0.07048458149779736,0.05433186490455213,681
IGRP_WF_24_Kf_add_dist,0.19383259911894274,0.15565345080763582,0.1262848751835536,0.06901615271659324,0.048458149779735685,681
IGRP_WF_25_Kf_add_dist,0.26284875183553597,0.2173274596182085,0.17327459618208516,0.12481644640234948,0.06461086637298091,681
IGRP_WF_26_Kf_add_dist,0.19823788546255505,0.17327459618208516,0.14977973568281938,0.10425844346549193,0.041116005873715125,681
IGRP_WF_27_Kf_add_dist,0.3010279001468429,0.25844346549192365,0.2173274596182085,0.14977973568281938,0.09691629955947137,681
IGRP_WF_28_Kf_add_dist,0.12922173274596183,0.11160058737151249,0.07342143906020558,0.05433186490455213,0.03524229074889868,681
IGRP_WF_29_Kf_add_dist,0.28193832599118945,0.23494860499265785,0.18355359765051396,0.1145374449339207,0.08223201174743025,681
IGRP_WF_2_Kf_add_dist,0.12187958883994127,0.09251101321585903,0.07782672540381791,0.05873715124816446,0.0381791483113069,681
IGRP_WF_30_Kf_add_dist,0.18208516886930984,0.1395007342143906,0.08370044052863436,0.05286343612334802,0.007342143906020558,681
IGRP_WF_31_Kf_add_dist,0.2966226138032305,0.22320117474302498,0.17327459618208516,0.1027900146842878,0.07048458149779736,681
IGRP_WF_32_Kf_add_dist,0.19530102790014683,0.15418502202643172,0.09397944199706314,0.06461086637298091,0.032305433186490456,681
IGRP_WF_33_Mc_add_dist,0.26725403817914833,0.2026431718061674,0.18061674008810572,0.13803230543318648,0.09691629955947137,681
IGRP_WF_34_Mc_add_dist,0.21145374449339208,0.18208516886930984,0.15859030837004406,0.08516886930983847,0.05433186490455213,681
IGRP_WF_35_Mc_add_dist,0.2775330396475771,0.2261380323054332,0.18795888399412627,0.14977973568281938,0.11013215859030837,681
IGRP_WF_36_Mc_add_dist,0.2011747430249633,0.1644640234948605,0.12334801762114538,0.09251101321585903,0.07342143906020558,681
IGRP_WF_37_Mc_add_dist,0.2540381791483113,0.20851688693098386,0.15712187958883994,0.11747430249632893,0.08516886930983847,681
IGRP_WF_38_Mc_add_dist,0.19530102790014683,0.14977973568281938,0.11013215859030837,0.07342143906020558,0.049926578560939794,681
IGRP_WF_39_Mc_add_dist,0.32158590308370044,0.2643171806167401,0.20851688693098386,0.1512481644640235,0.10572687224669604,681
IGRP_WF_3_Kf_add_dist,0.2790014684287812,0.19089574155653452,0.17474302496328928,0.14243759177679882,0.09838472834067548,681
IGRP_WF_40_Mc_add_dist,0.22026431718061673,0.16152716593245228,0.13069016152716592,0.1013215859030837,0.06461086637298091,681
IGRP_WF_41_Mc_add_dist,0.27165932452276065,0.19970631424375918,0.16005873715124816,0.11747430249632893,0.07342143906020558,681
IGRP_WF_42_Mc_add_dist,0.21879588839941264,0.18061674008810572,0.1262848751835536,0.0631424375917768,0.05286343612334802,681
IGRP_WF_43_Mc_add_dist,0.25697503671071953,0.2026431718061674,0.1762114537444934,0.1527165932452276,0.10572687224669604,681
IGRP_WF_44_Mc_add_dist,0.23201174743024963,0.19236417033773862,0.15565345080763582,0.09104258443465492,0.06020558002936858,681
IGRP_WF_45_Mc_add_dist,0.27606461086637296,0.22320117474302498,0.16005873715124816,0.12187958883994127,0.07342143906020558,681
IGRP_WF_46_Mc_add_dist,0.23348017621145375,0.17033773861967694,0.13803230543318648,0.11160058737151249,0.055800293685756244,681
IGRP_WF_47_Mc_add_dist,0.29955947136563876,0.2540381791483113,0.1894273127753304,0.1512481644640235,0.08516886930983847,681
IGRP_WF_48_Mc_add_dist,0.22026431718061673,0.17033773861967694,0.1277533039647577,0.09544787077826726,0.0631424375917768,681
IGRP_WF_49_Mc_add_dist,0.2775330396475771,0.19530102790014683,0.16005873715124816,0.12187958883994127,0.07929515418502203,681
IGRP_WF_4_Kf_add_dist,0.2173274596182085,0.1644640234948605,0.1262848751835536,0.11013215859030837,0.07048458149779736,681
IGRP_WF_50_Mc_add_dist,0.19236417033773862,0.16005873715124816,0.09691629955947137,0.07782672540381791,0.04698972099853157,681
IGRP_WF_51_Mc_add_dist,0.2936857562408223,0.24375917767988253,0.1894273127753304,0.1512481644640235,0.11747430249632893,681
IGRP_WF_52_Mc_add_dist,0.2011747430249633,0.16886930983847284,0.13069016152716592,0.08663729809104258,0.06461086637298091,681
IGRP_WF_53_Mc_add_dist,0.2511013215859031,0.20998531571218795,0.16593245227606462,0.11894273127753303,0.07342143906020558,681
IGRP_WF_54_Mc_add_dist,0.18795888399412627,0.13656387665198239,0.09544787077826726,0.0631424375917768,0.0513950073421439,681
IGRP_WF_55_Mc_add_dist,0.2966226138032305,0.2422907488986784,0.1776798825256975,0.14831130690161526,0.10719530102790015,681
IGRP_WF_56_Mc_add_dist,0.2055800293685756,0.16152716593245228,0.11894273127753303,0.09251101321585903,0.06607929515418502,681
IGRP_WF_57_Mc_add_dist,0.2775330396475771,0.2261380323054332,0.15712187958883994,0.11747430249632893,0.09251101321585903,681
IGRP_WF_58_Mc_add_dist,0.20998531571218795,0.17327459618208516,0.13362701908957417,0.09691629955947137,0.055800293685756244,681
IGRP_WF_59_Mc_add_dist,0.2511013215859031,0.20411160058737152,0.18208516886930984,0.1527165932452276,0.11013215859030837,681
IGRP_WF_5_Kf_add_dist,0.2834067547723935,0.21585903083700442,0.16299559471365638,0.11894273127753303,0.07342143906020558,681
IGRP_WF_60_Mc_add_dist,0.19970631424375918,0.1512481644640235,0.12041116005873716,0.07195301027900147,0.06167400881057269,681
IGRP_WF_61_Mc_add_dist,0.2540381791483113,0.2011747430249633,0.16005873715124816,0.1130690161527166,0.09397944199706314,681
IGRP_WF_62_Mc_add_dist,0.18061674008810572,0.14831130690161526,0.1145374449339207,0.06901615271659324,0.04698972099853157,681
IGRP_WF_63_Mc_add_dist,0.27165932452276065,0.20411160058737152,0.1776798825256975,0.14243759177679882,0.08223201174743025,681
IGRP_WF_64_Mc_add_dist,0.24963289280469897,0.18649045521292218,0.1262848751835536,0.09838472834067548,0.08223201174743025,681
IGRP_WF_65_Mc_add_dist,0.28487518355359764,0.2393538913362702,0.19236417033773862,0.11894273127753303,0.06754772393538913,681
IGRP_WF_66_Mc_add_dist,0.15565345080763582,0.13656387665198239,0.10425844346549193,0.06754772393538913,0.04552129221732746,681
IGRP_WF_67_Mc_add_dist,0.302496328928047,0.2657856093979442,0.2261380323054332,0.16886930983847284,0.10572687224669604,681
IGRP_WF_68_Mc_add_dist,0.19970631424375918,0.1512481644640235,0.11600587371512482,0.09104258443465492,0.05286343612334802,681
IGRP_WF_69_Mc_add_dist,0.2393538913362702,0.19236417033773862,0.1512481644640235,0.07342143906020558,0.0513950073421439,681
IGRP_WF_6_Kf_add_dist,0.18795888399412627,0.13509544787077826,0.09838472834067548,0.06607929515418502,0.04405286343612335,681
IGRP_WF_70_Mc_add_dist,0.14243759177679882,0.11747430249632893,0.09104258443465492,0.0631424375917768,0.013215859030837005,681
IGRP_WF_71_Mc_add_dist,0.23201174743024963,0.19530102790014683,0.13362701908957417,0.10719530102790015,0.049926578560939794,681
IGRP_WF_72_Mc_add_dist,0.16740088105726872,0.13069016152716592,0.08223201174743025,0.049926578560939794,0.0381791483113069,681
IGRP_WF_73_Mc_add_dist,0.28928046989721,0.25697503671071953,0.19823788546255505,0.13069016152716592,0.08516886930983847,681
IGRP_WF_74_Mc_add_dist,0.18061674008810572,0.14684287812041116,0.11894273127753303,0.08957415565345081,0.0513950073421439,681
IGRP_WF_75_Mc_add_dist,0.2936857562408223,0.2657856093979442,0.2276064610866373,0.17180616740088106,0.09691629955947137,681
IGRP_WF_76_Mc_add_dist,0.19383259911894274,0.16152716593245228,0.12922173274596183,0.07488986784140969,0.049926578560939794,681
IGRP_WF_77_Mc_add_dist,0.2555066079295154,0.2055800293685756,0.1512481644640235,0.1027900146842878,0.05286343612334802,681
IGRP_WF_78_Mc_add_dist,0.1776798825256975,0.1395007342143906,0.11013215859030837,0.08076358296622614,0.0381791483113069,681
IGRP_WF_79_Mc_add_dist,0.2657856093979442,0.22466960352422907,0.16740088105726872,0.12481644640234948,0.08076358296622614,681
IGRP_WF_7_Kf_add_dist,0.33627019089574156,0.2657856093979442,0.2055800293685756,0.16005873715124816,0.11013215859030837,681
IGRP_WF_80_Mc_add_dist,0.20411160058737152,0.1644640234948605,0.11894273127753303,0.0881057268722467,0.04405286343612335,681
IGRP_WF_81_Mc_add_dist,0.28193832599118945,0.2525697503671072,0.18208516886930984,0.10572687224669604,0.0631424375917768,681
IGRP_WF_82_Mc_add_dist,0.17180616740088106,0.1395007342143906,0.09104258443465492,0.05286343612334802,0.04405286343612335,681
IGRP_WF_83_Mc_add_dist,0.28487518355359764,0.2393538913362702,0.18208516886930984,0.1277533039647577,0.07488986784140969,681
IGRP_WF_84_Mc_add_dist,0.2055800293685756,0.16152716593245228,0.1277533039647577,0.0763582966226138,0.048458149779735685,681
IGRP_WF_85_Mc_add_dist,0.2290748898678414,0.17474302496328928,0.13656387665198239,0.08663729809104258,0.048458149779735685,681
IGRP_WF_86_Mc_add_dist,0.14537444933920704,0.11600587371512482,0.06461086637298091,0.04698972099853157,0.02643171806167401,681
IGRP_WF_87_Mc_add_dist,0.2555066079295154,0.18208516886930984,0.13069016152716592,0.08516886930983847,0.05286343612334802,681
IGRP_WF_88_Mc_add_dist,0.19970631424375918,0.15565345080763582,0.1027900146842878,0.05726872246696035,0.05286343612334802,681
IGRP_WF_89_Mc_add_dist,0.2834067547723935,0.2511013215859031,0.18355359765051396,0.14390602055800295,0.07048458149779736,681
IGRP_WF_8_Kf_add_dist,0.2055800293685756,0.14831130690161526,0.1145374449339207,0.07195301027900147,0.06167400881057269,681
IGRP_WF_90_Mc_add_dist,0.18061674008810572,0.13656387665198239,0.10866372980910426,0.0763582966226138,0.04405286343612335,681
IGRP_WF_91_Mc_add_dist,0.28193832599118945,0.24082232011747431,0.19823788546255505,0.1395007342143906,0.09544787077826726,681
IGRP_WF_92_Mc_add_dist,0.17474302496328928,0.14096916299559473,0.10572687224669604,0.06754772393538913,0.04698972099853157,681
IGRP_WF_93_Mc_add_dist,0.25844346549192365,0.2143906020558003,0.14243759177679882,0.10572687224669604,0.05873715124816446,681
IGRP_WF_94_Mc_add_dist,0.16152716593245228,0.13362701908957417,0.09544787077826726,0.07342143906020558,0.03524229074889868,681
IGRP_WF_95_Mc_add_dist,0.2966226138032305,0.23641703377386197,0.2055800293685756,0.13069016152716592,0.08516886930983847,681
IGRP_WF_96_Mc_add_dist,0.2011747430249633,0.17327459618208516,0.10866372980910426,0.08370044052863436,0.049926578560939794,681
IGRP_WF_9_Kf_add_dist,0.28193832599118945,0.21145374449339208,0.17327459618208516,0.1262848751835536,0.09985315712187959,681
