model_name,TP (Kas_Gearty_no_cut),FP (Kas_Gearty_no_cut),TN (Kas_Gearty_no_cut),FN (Kas_Gearty_no_cut),accuracy (Kas_Gearty_no_cut),precision (Kas_Gearty_no_cut),recall (Kas_Gearty_no_cut),specificity (Kas_Gearty_no_cut),f1_score (Kas_Gearty_no_cut),b_accuracy (Kas_Gearty_no_cut),AUC_value_inf (Kas_Gearty_no_cut),AUC_value_trn (Kas_Gearty_no_cut),mcc (Kas_Gearty_no_cut),log_loss (Kas_Gearty_no_cut),kappa (Kas_Gearty_no_cut),fall_out (Kas_Gearty_no_cut),miss_rate (Kas_Gearty_no_cut),NPV (Kas_Gearty_no_cut),lr_plus (Kas_Gearty_no_cut),lr_minus (Kas_Gearty_no_cut)
IGRP_WF_1_Kf_add_dist,9639.0,3146.0,10855.0,4230.0,0.7353426623609616,0.7539303871724677,0.6950032446463336,0.7753017641597029,0.7232685525624671,0.7351525044030183,0.8007721516178384,1.0,0.4719094590358108,0.6302113297192569,0.4704783527445306,0.2246982358402972,0.30499675535366644,0.7195889956910838,3.093051630099592,0.3933910245699386
IGRP_WF_2_Kf_add_dist,7986.0,1293.0,12708.0,5883.0,0.7425188374596341,0.8606530876172002,0.5758165693272767,0.9076494536104563,0.6899948159668222,0.7417330114688665,0.8034119566740463,1.0,0.5129394445710287,0.5969152001167805,0.4842214567985033,0.0923505463895436,0.42418343067272335,0.6835565596256253,6.235118164850117,0.4673427929531633
IGRP_WF_3_Kf_add_dist,9580.0,3020.0,10981.0,4289.0,0.7377466810190169,0.7603174603174603,0.6907491527867907,0.7843011213484751,0.7238656541614719,0.7375251370676329,0.8006713945203043,1.0,0.4772400514331743,0.6778038040442431,0.4752552620643643,0.2156988786515249,0.3092508472132093,0.7191224623444663,3.2023771152873697,0.3943011667272693
IGRP_WF_4_Kf_add_dist,9290.0,2157.0,11844.0,4579.0,0.7583064226767133,0.8115663492618154,0.6698392097483596,0.8459395757445897,0.7339232106177911,0.7578893927464747,0.814880053297389,1.0,0.5241957424092513,0.6045431192026309,0.51620373273135,0.15406042425541033,0.3301607902516404,0.7211837057784813,4.3478992933179335,0.3902888571693024
IGRP_WF_5_Kf_add_dist,9606.0,3030.0,10971.0,4263.0,0.7383207750269106,0.7602089268755935,0.6926238373350638,0.7835868866509536,0.7248443689869836,0.7381053619930087,0.787237066783684,1.0,0.4782880045026282,0.6332808346424424,0.4764103807484006,0.2164131133490465,0.30737616266493617,0.7201654194564789,3.2004707414284583,0.3922681299308879
IGRP_WF_6_Kf_add_dist,9124.0,1798.0,12203.0,4745.0,0.7652314316469322,0.8353781358725508,0.6578700699401543,0.8715806013856153,0.7360735750877334,0.7647253356628848,0.8039779962978553,1.0,0.5422721386458061,0.5702301848734584,0.5299815320606116,0.1284193986143847,0.3421299300598457,0.7200259617654,5.122824721486151,0.3925396337595591
IGRP_WF_7_Kf_add_dist,10001.0,3495.0,10506.0,3868.0,0.7358091137423753,0.7410343805572022,0.7211046218184441,0.7503749732161988,0.730933674401608,0.7357397975173214,0.7896038286028507,1.0,0.4717084419272773,0.6915487964102828,0.4715393764961835,0.2496250267838012,0.278895378181556,0.7309030193404759,2.8887513047439297,0.3716746801751347
IGRP_WF_8_Kf_add_dist,9379.0,1864.0,12137.0,4490.0,0.7720129171151776,0.8342079516143378,0.6762563991636023,0.8668666523819727,0.7469735584581076,0.7715615257727875,0.8007202461342684,1.0,0.5535441736189908,0.5988658584583154,0.5436082512120093,0.13313334761802728,0.3237436008363977,0.7299572983701209,5.0795417621725285,0.3734641307827639
IGRP_WF_9_Kf_add_dist,9714.0,2643.0,11358.0,4155.0,0.7560818083961248,0.7861131342558874,0.7004109885355829,0.8112277694450396,0.7407915808739419,0.7558193789903113,0.7954738346228877,1.0,0.5149453233397545,0.6603629240074108,0.5119018321494173,0.1887722305549604,0.29958901146441697,0.732160123767163,3.7103496974978034,0.3693032003445416
IGRP_WF_10_Kf_add_dist,9325.0,2392.0,11609.0,4544.0,0.7511302475780409,0.7958521805923018,0.6723628235633428,0.8291550603528319,0.7289142499804581,0.7507589419580873,0.8077708405499027,1.0,0.5079883059154936,0.611524487504382,0.5018849854526053,0.17084493964716807,0.3276371764366573,0.718690026620442,3.9355150053136962,0.3951458443698544
IGRP_WF_11_Kf_add_dist,9595.0,2573.0,11428.0,4274.0,0.7543236454969501,0.7885437212360289,0.6918307015646405,0.8162274123276909,0.7370280754311173,0.7540290569461657,0.7945402337252581,1.0,0.5121868291944944,0.7163248077101115,0.508352019991714,0.1837725876723091,0.30816929843535945,0.7278053751114508,3.7646022746236034,0.37755323305858135
IGRP_WF_12_Kf_add_dist,9110.0,2357.0,11644.0,4759.0,0.7446716899892357,0.7944536496032092,0.656860624414161,0.8316548817941576,0.7191348279128513,0.7442577531041593,0.7983265196249566,1.0,0.4963567206736669,0.6731336768621002,0.4889146650917059,0.16834511820584244,0.3431393755858389,0.7098701457050539,3.9018691567342674,0.4125982821691284
IGRP_WF_13_Kf_add_dist,8712.0,2491.0,11510.0,5157.0,0.7255830642267671,0.7776488440596269,0.6281635301752109,0.8220841368473679,0.6949585194639438,0.7251238335112895,0.7956434840318076,1.0,0.4591532760717965,0.6508378834183123,0.4506560287781412,0.17791586315263194,0.3718364698247891,0.6905861882762345,3.530677473297121,0.452309505996253
IGRP_WF_14_Kf_add_dist,9105.0,1742.0,12259.0,4764.0,0.7665590240401866,0.8394025997971789,0.6565001081548778,0.8755803156917363,0.736769703835572,0.7660402119233071,0.8009331853035704,1.0,0.5456403929400809,0.5910896585496349,0.5326275126009241,0.1244196843082637,0.3434998918451222,0.7201433354872819,5.2764971379313685,0.3923111171974513
IGRP_WF_15_Kf_add_dist,9068.0,3004.0,10997.0,4801.0,0.7199497667743093,0.7511597084161696,0.6538322878361814,0.7854438968645097,0.6991249373578505,0.7196380923503456,0.7826299079437529,1.0,0.4432503553459144,0.7143243303623051,0.4395446516382889,0.2145561031354903,0.3461677121638186,0.6961007722496518,3.0473721244987937,0.4407287567523529
IGRP_WF_16_Kf_add_dist,9231.0,1879.0,12122.0,4638.0,0.7661643344097596,0.8308730873087309,0.6655851178888168,0.8657953003356903,0.7391008447095561,0.7656902091122535,0.8137028354880598,1.0,0.5426422584197623,0.5713274820891195,0.531879192944352,0.1342046996643097,0.3344148821111832,0.7232696897374702,4.959476974753232,0.3862516717075298
IGRP_WF_17_Kf_add_dist,9700.0,3281.0,10720.0,4169.0,0.7326874775744529,0.7472459748863723,0.6994015430095898,0.7656595957431612,0.7225325884543762,0.7325305693763755,0.8042578553804669,1.0,0.4661495965255941,0.6697283468081389,0.4652015473977371,0.2343404042568388,0.3005984569904103,0.7199946269057693,2.984553795695601,0.3926006526420461
IGRP_WF_18_Kf_add_dist,8736.0,1605.0,12396.0,5133.0,0.7582346609257266,0.8447925732521033,0.6298940082197707,0.8853653310477823,0.7216852540272615,0.7576296696337765,0.8134903237575055,1.0,0.5332957646198574,0.5696525256075453,0.5158779468956113,0.1146346689522177,0.3701059917802293,0.7071709738148212,5.494795021236767,0.4180262980731679
