model name,t50_pln_pd1,t60_pln_pd1,t70_pln_pd1,t80_pln_pd1,t90_pln_pd1,nseq_pln_pd1
IGRP_WF_10_Kf_add_dist,0.18181818181818182,0.15,0.1318181818181818,0.07272727272727272,0.05454545454545454,220
IGRP_WF_11_Kf_add_dist,0.21363636363636362,0.17272727272727273,0.12727272727272726,0.10454545454545454,0.09545454545454546,220
IGRP_WF_12_Kf_add_dist,0.17727272727272728,0.13636363636363635,0.12727272727272726,0.07727272727272727,0.05909090909090909,220
IGRP_WF_13_Kf_add_dist,0.20454545454545456,0.15,0.11818181818181818,0.11363636363636363,0.08181818181818182,220
IGRP_WF_14_Kf_add_dist,0.1318181818181818,0.09090909090909091,0.05,0.04090909090909091,0.022727272727272728,220
IGRP_WF_15_Kf_add_dist,0.22272727272727272,0.2,0.16363636363636364,0.12272727272727273,0.1,220
IGRP_WF_16_Kf_add_dist,0.17272727272727273,0.11363636363636363,0.07272727272727272,0.045454545454545456,0.01818181818181818,220
IGRP_WF_17_Kf_add_dist,0.2318181818181818,0.19090909090909092,0.1590909090909091,0.10454545454545454,0.05,220
IGRP_WF_18_Kf_add_dist,0.12727272727272726,0.10909090909090909,0.05,0.01818181818181818,0.01818181818181818,220
IGRP_WF_19_Kf_add_dist,0.22272727272727272,0.17272727272727273,0.13636363636363635,0.07272727272727272,0.04090909090909091,220
IGRP_WF_1_Kf_add_dist,0.24545454545454545,0.20909090909090908,0.14545454545454545,0.08636363636363636,0.05909090909090909,220
IGRP_WF_20_Kf_add_dist,0.14545454545454545,0.10454545454545454,0.08181818181818182,0.05454545454545454,0.031818181818181815,220
IGRP_WF_21_Kf_add_dist,0.18181818181818182,0.11363636363636363,0.06818181818181818,0.03636363636363636,0.022727272727272728,220
IGRP_WF_22_Kf_add_dist,0.08181818181818182,0.05,0.03636363636363636,0.00909090909090909,0.00909090909090909,220
IGRP_WF_23_Kf_add_dist,0.17727272727272728,0.1409090909090909,0.09545454545454546,0.05909090909090909,0.02727272727272727,220
IGRP_WF_24_Kf_add_dist,0.1409090909090909,0.10454545454545454,0.07727272727272727,0.04090909090909091,0.03636363636363636,220
IGRP_WF_25_Kf_add_dist,0.22272727272727272,0.16363636363636364,0.1318181818181818,0.08636363636363636,0.05,220
IGRP_WF_26_Kf_add_dist,0.13636363636363635,0.12272727272727273,0.07272727272727272,0.06363636363636363,0.045454545454545456,220
IGRP_WF_27_Kf_add_dist,0.24545454545454545,0.20454545454545456,0.15454545454545454,0.12272727272727273,0.07272727272727272,220
IGRP_WF_28_Kf_add_dist,0.10454545454545454,0.09545454545454546,0.04090909090909091,0.04090909090909091,0.01818181818181818,220
IGRP_WF_29_Kf_add_dist,0.23636363636363636,0.18636363636363637,0.12272727272727273,0.09090909090909091,0.031818181818181815,220
IGRP_WF_2_Kf_add_dist,0.10454545454545454,0.08181818181818182,0.05,0.031818181818181815,0.022727272727272728,220
IGRP_WF_30_Kf_add_dist,0.12727272727272726,0.07727272727272727,0.05,0.013636363636363636,0.00909090909090909,220
IGRP_WF_31_Kf_add_dist,0.2318181818181818,0.17727272727272728,0.11363636363636363,0.08181818181818182,0.05909090909090909,220
IGRP_WF_32_Kf_add_dist,0.12272727272727273,0.10909090909090909,0.07727272727272727,0.05,0.013636363636363636,220
