model name,t50_panc_spt,t60_panc_spt,t70_panc_spt,t80_panc_spt,t90_panc_spt,nseq_panc_spt
IGRP_WF_10_Kf_add_dist,0.3825541619156214,0.3181299885974915,0.26225769669327254,0.17103762827822122,0.161345496009122,1754
IGRP_WF_11_Kf_add_dist,0.33352337514253133,0.2998859749144812,0.2765108323831243,0.24629418472063855,0.23090079817559864,1754
IGRP_WF_12_Kf_add_dist,0.2839224629418472,0.2702394526795895,0.2434435575826682,0.22633979475484606,0.16476624857468644,1754
IGRP_WF_13_Kf_add_dist,0.3369441277080958,0.2919042189281642,0.26225769669327254,0.250285062713797,0.18415051311288483,1754
IGRP_WF_14_Kf_add_dist,0.3215507411630559,0.25997719498289623,0.20581527936145952,0.14709236031927023,0.12998859749144812,1754
IGRP_WF_15_Kf_add_dist,0.35746864310148235,0.3187001140250855,0.2844925883694413,0.26225769669327254,0.20410490307867732,1754
IGRP_WF_16_Kf_add_dist,0.29076396807297605,0.24857468643101482,0.21664766248574688,0.16590649942987457,0.1345496009122007,1754
IGRP_WF_17_Kf_add_dist,0.4338654503990878,0.3882554161915621,0.3312428734321551,0.2896237172177879,0.1807297605473204,1754
IGRP_WF_18_Kf_add_dist,0.26624857468643104,0.2514253135689852,0.20581527936145952,0.19327251995438996,0.1476624857468643,1754
IGRP_WF_19_Kf_add_dist,0.37001140250855186,0.30387685290763966,0.2896237172177879,0.250285062713797,0.16704675028506272,1754
IGRP_WF_1_Kf_add_dist,0.35860889395667045,0.3215507411630559,0.26225769669327254,0.2354618015963512,0.21265678449258837,1754
IGRP_WF_20_Kf_add_dist,0.3261117445838084,0.26795895096921324,0.233751425313569,0.169327251995439,0.14424173318129987,1754
IGRP_WF_21_Kf_add_dist,0.3597491448118586,0.2936145952109464,0.24572405929304447,0.20125427594070697,0.1379703534777651,1754
IGRP_WF_22_Kf_add_dist,0.2080957810718358,0.18187001140250855,0.15222348916761688,0.1379703534777651,0.010832383124287344,1754
IGRP_WF_23_Kf_add_dist,0.3774230330672748,0.2588369441277081,0.23261117445838084,0.16989737742303307,0.16020524515393386,1754
