model_name,training_type,folds,weight_by_class,test_size,LOO,kernel,size_of_net,num_concepts,num_fc_layers,units_fc,num_agg_layers,units_agg,epochs_min,combine_train_valid,train_loss_min,hinge_loss_t,accuracy_min,qualitative_agg,quantitative_agg,drop_out_rate,multisample_dropout,multisample_dropout_rate,subsample,subsample_valid_test,l2_reg
IGRP_WF_30_Kf_add_dist,K-fold,5,True,N.A.,N.A.,5,small,24,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_31_Kf_add_dist,K-fold,5,True,N.A.,N.A.,5,small,36,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_32_Kf_add_dist,K-fold,5,True,N.A.,N.A.,5,small,36,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_33_Mc_add_dist,Monte Carlo,20,False,0.2,1,3,medium,24,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_34_Mc_add_dist,Monte Carlo,20,False,0.2,1,3,medium,24,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_35_Mc_add_dist,Monte Carlo,20,False,0.2,1,3,medium,36,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_36_Mc_add_dist,Monte Carlo,20,False,0.2,1,3,medium,36,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_37_Mc_add_dist,Monte Carlo,20,False,0.2,1,3,small,24,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_38_Mc_add_dist,Monte Carlo,20,False,0.2,1,3,small,24,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_39_Mc_add_dist,Monte Carlo,20,False,0.2,1,3,small,36,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_40_Mc_add_dist,Monte Carlo,20,False,0.2,1,3,small,36,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_41_Mc_add_dist,Monte Carlo,20,False,0.2,1,5,medium,24,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_42_Mc_add_dist,Monte Carlo,20,False,0.2,1,5,medium,24,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_43_Mc_add_dist,Monte Carlo,20,False,0.2,1,5,medium,36,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_44_Mc_add_dist,Monte Carlo,20,False,0.2,1,5,medium,36,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_45_Mc_add_dist,Monte Carlo,20,False,0.2,1,5,small,24,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_46_Mc_add_dist,Monte Carlo,20,False,0.2,1,5,small,24,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_47_Mc_add_dist,Monte Carlo,20,False,0.2,1,5,small,36,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_48_Mc_add_dist,Monte Carlo,20,False,0.2,1,5,small,36,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_49_Mc_add_dist,Monte Carlo,20,False,0.2,2,3,medium,24,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_50_Mc_add_dist,Monte Carlo,20,False,0.2,2,3,medium,24,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_51_Mc_add_dist,Monte Carlo,20,False,0.2,2,3,medium,36,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_52_Mc_add_dist,Monte Carlo,20,False,0.2,2,3,medium,36,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_53_Mc_add_dist,Monte Carlo,20,False,0.2,2,3,small,24,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_54_Mc_add_dist,Monte Carlo,20,False,0.2,2,3,small,24,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_55_Mc_add_dist,Monte Carlo,20,False,0.2,2,3,small,36,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_56_Mc_add_dist,Monte Carlo,20,False,0.2,2,3,small,36,1,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
IGRP_WF_57_Mc_add_dist,Monte Carlo,20,False,0.2,2,5,medium,24,0,12,0,12,25,True,0.1,0.1,None,True,False,0.1,True,0.1,500,False,0.01
