model name,t50_pln_igg,t60_pln_igg,t70_pln_igg,t80_pln_igg,t90_pln_igg,nseq_pln_igg
IGRP_WF_10_Kf_add_dist,0.24704956726986624,0.23131392604248624,0.2014162077104642,0.022816679779701022,0.014948859166011016,1271
IGRP_WF_11_Kf_add_dist,0.16837136113296616,0.12195121951219512,0.06845003933910307,0.04799370574350905,0.03304484657749803,1271
IGRP_WF_12_Kf_add_dist,0.24390243902439024,0.1880409126671912,0.15106215578284815,0.020456333595594022,0.014948859166011016,1271
IGRP_WF_13_Kf_add_dist,0.2682926829268293,0.14398111723052714,0.0975609756097561,0.04799370574350905,0.022029897718332022,1271
IGRP_WF_14_Kf_add_dist,0.1974822974036192,0.17702596380802518,0.12667191188040913,0.0055074744295830055,0.0023603461841070024,1271
IGRP_WF_15_Kf_add_dist,0.2879622344610543,0.27065302911093625,0.11723052714398112,0.07238394964594808,0.044059795436664044,1271
IGRP_WF_16_Kf_add_dist,0.24154209284028325,0.1911880409126672,0.14162077104642015,0.00944138473642801,0.0023603461841070024,1271
IGRP_WF_17_Kf_add_dist,0.31943351691581434,0.23210070810385522,0.1951219512195122,0.14791502753737215,0.12903225806451613,1271
IGRP_WF_18_Kf_add_dist,0.1848937844217152,0.16837136113296616,0.15027537372147914,0.11880409126671912,0.11565696302124312,1271
IGRP_WF_19_Kf_add_dist,0.2895357985837923,0.21715184893784423,0.1943351691581432,0.17309205350118018,0.01730920535011802,1271
IGRP_WF_1_Kf_add_dist,0.2926829268292683,0.24547600314712825,0.07946498819826908,0.03619197482297404,0.014162077104642014,1271
IGRP_WF_20_Kf_add_dist,0.23288749016522423,0.1919748229740362,0.17151848937844216,0.012588512981904013,0.003147128245476003,1271
IGRP_WF_21_Kf_add_dist,0.21321793863099922,0.1982690794649882,0.14634146341463414,0.01888276947285602,0.004720692368214005,1271
IGRP_WF_22_Kf_add_dist,0.17702596380802518,0.13690007867820614,0.11959087332808813,0.003933910306845004,0.0007867820613690008,1271
IGRP_WF_23_Kf_add_dist,0.24311565696302123,0.16758457907159716,0.14870180959874116,0.015735641227380016,0.0023603461841070024,1271
IGRP_WF_24_Kf_add_dist,0.22974036191974823,0.16837136113296616,0.14555468135326516,0.12431156569630213,0.003933910306845004,1271
IGRP_WF_25_Kf_add_dist,0.28481510621557826,0.2549173878835563,0.2069236821400472,0.03304484657749803,0.00944138473642801,1271
IGRP_WF_26_Kf_add_dist,0.24547600314712825,0.1888276947285602,0.16365066876475218,0.15027537372147914,0.00944138473642801,1271
IGRP_WF_27_Kf_add_dist,0.32494099134539733,0.2738001573564123,0.2187254130605822,0.16601101494885917,0.025177025963808025,1271
IGRP_WF_28_Kf_add_dist,0.06766325727773406,0.023603461841070025,0.0055074744295830055,0.0007867820613690008,0.0007867820613690008,1271
IGRP_WF_29_Kf_add_dist,0.2903225806451613,0.22974036191974823,0.1848937844217152,0.15342250196695514,0.014948859166011016,1271
IGRP_WF_2_Kf_add_dist,0.1982690794649882,0.02832415420928403,0.015735641227380016,0.0055074744295830055,0.003147128245476003,1271
IGRP_WF_30_Kf_add_dist,0.17230527143981117,0.15106215578284815,0.013375295043273014,0.007081038552321007,0.003933910306845004,1271
IGRP_WF_31_Kf_add_dist,0.27301337529504327,0.22659323367427223,0.16994492525570418,0.03933910306845004,0.01966955153422502,1271
IGRP_WF_32_Kf_add_dist,0.1951219512195122,0.14634146341463414,0.022029897718332022,0.00865460267505901,0.003147128245476003,1271
IGRP_WF_33_Mc_add_dist,0.2911093627065303,0.25963808025177026,0.23918174665617625,0.15971675845790717,0.014948859166011016,1271
IGRP_WF_34_Mc_add_dist,0.24154209284028325,0.21715184893784423,0.1778127458693942,0.12588512981904013,0.00944138473642801,1271
IGRP_WF_35_Mc_add_dist,0.3099921321793863,0.16365066876475218,0.13532651455546812,0.08339889850511409,0.03697875688434304,1271
IGRP_WF_36_Mc_add_dist,0.24390243902439024,0.21951219512195122,0.17702596380802518,0.13217938630999213,0.006294256490952006,1271
IGRP_WF_37_Mc_add_dist,0.27930763178599527,0.2108575924468922,0.05507474429583006,0.03304484657749803,0.015735641227380016,1271
IGRP_WF_38_Mc_add_dist,0.22344610542879623,0.18174665617623917,0.14398111723052714,0.12195121951219512,0.003147128245476003,1271
IGRP_WF_39_Mc_add_dist,0.1848937844217152,0.16365066876475218,0.1109362706530291,0.08969315499606609,0.03068450039339103,1271
IGRP_WF_3_Kf_add_dist,0.3092053501180173,0.2682926829268293,0.18961447678992918,0.04720692368214005,0.01966955153422502,1271
IGRP_WF_40_Mc_add_dist,0.24390243902439024,0.06451612903225806,0.03933910306845004,0.029110936270653028,0.007867820613690008,1271
IGRP_WF_41_Mc_add_dist,0.27301337529504327,0.23996852871754523,0.17073170731707318,0.15184893784421716,0.01809598741148702,1271
IGRP_WF_42_Mc_add_dist,0.23760818253343824,0.20298977183320221,0.16129032258064516,0.12667191188040913,0.006294256490952006,1271
IGRP_WF_43_Mc_add_dist,0.2761605035405193,0.23760818253343824,0.0975609756097561,0.05271439811172305,0.03697875688434304,1271
IGRP_WF_44_Mc_add_dist,0.24390243902439024,0.19276160503540518,0.1848937844217152,0.13375295043273014,0.007081038552321007,1271
IGRP_WF_45_Mc_add_dist,0.2753737214791503,0.25098347757671124,0.1943351691581432,0.03697875688434304,0.024390243902439025,1271
IGRP_WF_46_Mc_add_dist,0.20928402832415421,0.18961447678992918,0.15106215578284815,0.12509834775767112,0.003933910306845004,1271
IGRP_WF_47_Mc_add_dist,0.2981904012588513,0.2690794649881983,0.21400472069236823,0.059008654602675056,0.03304484657749803,1271
IGRP_WF_48_Mc_add_dist,0.25255704169944926,0.20298977183320221,0.05035405192761605,0.02989771833202203,0.007867820613690008,1271
IGRP_WF_49_Mc_add_dist,0.2808811959087333,0.25019669551534224,0.07159716758457907,0.041699449252557044,0.022029897718332022,1271
IGRP_WF_4_Kf_add_dist,0.23918174665617625,0.17702596380802518,0.15578284815106216,0.024390243902439025,0.007867820613690008,1271
IGRP_WF_50_Mc_add_dist,0.2084972462627852,0.1935483870967742,0.14162077104642015,0.011801730920535013,0.0023603461841070024,1271
IGRP_WF_51_Mc_add_dist,0.17545239968528717,0.16129032258064516,0.12273800157356413,0.09284028324154209,0.043273013375295044,1271
IGRP_WF_52_Mc_add_dist,0.2179386309992132,0.1966955153422502,0.15656963021243114,0.022029897718332022,0.00865460267505901,1271
IGRP_WF_53_Mc_add_dist,0.2832415420928403,0.11014948859166011,0.0889063729346971,0.040912667191188044,0.015735641227380016,1271
IGRP_WF_54_Mc_add_dist,0.22974036191974823,0.1809598741148702,0.14240755310778913,0.00865460267505901,0.0023603461841070024,1271
IGRP_WF_55_Mc_add_dist,0.18017309205350118,0.13690007867820614,0.10857592446892211,0.08969315499606609,0.029110936270653028,1271
IGRP_WF_56_Mc_add_dist,0.21636506687647522,0.08261211644374508,0.03697875688434304,0.022816679779701022,0.004720692368214005,1271
IGRP_WF_57_Mc_add_dist,0.2800944138473643,0.24704956726986624,0.22029897718332023,0.046420141620771044,0.012588512981904013,1271
IGRP_WF_58_Mc_add_dist,0.23682140047206923,0.1888276947285602,0.14004720692368214,0.015735641227380016,0.0023603461841070024,1271
IGRP_WF_59_Mc_add_dist,0.16758457907159716,0.15184893784421716,0.1007081038552321,0.05350118017309206,0.03776553894571204,1271
IGRP_WF_5_Kf_add_dist,0.3021243115656963,0.24468922108575925,0.1990558615263572,0.040912667191188044,0.013375295043273014,1271
IGRP_WF_60_Mc_add_dist,0.2147915027537372,0.17151848937844216,0.15499606608969316,0.020456333595594022,0.0055074744295830055,1271
IGRP_WF_61_Mc_add_dist,0.2738001573564123,0.0999213217938631,0.08339889850511409,0.03461841070023604,0.020456333595594022,1271
IGRP_WF_62_Mc_add_dist,0.19276160503540518,0.14083398898505115,0.12431156569630213,0.11723052714398112,0.0023603461841070024,1271
IGRP_WF_63_Mc_add_dist,0.2871754523996853,0.12509834775767112,0.0967741935483871,0.07553107789142408,0.02989771833202203,1271
IGRP_WF_64_Mc_add_dist,0.25255704169944926,0.1966955153422502,0.15892997639653816,0.025963808025177025,0.0055074744295830055,1271
IGRP_WF_65_Mc_add_dist,0.2808811959087333,0.24232887490165225,0.2084972462627852,0.14870180959874116,0.12667191188040913,1271
IGRP_WF_66_Mc_add_dist,0.1951219512195122,0.13926042486231313,0.12824547600314712,0.12352478363493312,0.004720692368214005,1271
IGRP_WF_67_Mc_add_dist,0.3154996066089693,0.2761605035405193,0.2218725413060582,0.17230527143981117,0.13611329661683713,1271
IGRP_WF_68_Mc_add_dist,0.2014162077104642,0.17387883556254918,0.16050354051927615,0.12981904012588513,0.11644374508261211,1271
IGRP_WF_69_Mc_add_dist,0.25334382376081827,0.16601101494885917,0.15499606608969316,0.12745869394177814,0.004720692368214005,1271
