model name,TP,FP,TN,FN,accuracy,precision,recall,specificity,F1 score,F0.5 score,F0.75 score,b accuracy,AUC value inf,AUC value trn,mcc,log loss,kappa,fall out,miss rate,NPV,lr plus,lr minus,t80_bld_igg,nseq_bld_igg,t80_bld_pd1,nseq_bld_pd1,t80_bld_spt,nseq_bld_spt,t80_pln_igg,nseq_pln_igg,t80_pln_pd1,nseq_pln_pd1,t80_pln_spt,nseq_pln_spt,t80_panc_igg,nseq_panc_igg,t80_panc_pd1,nseq_panc_pd1,t80_panc_spt,nseq_panc_spt
IGRP_WF_1_Kf_tp8,8714,1173,12828,5155,0.77294582,0.8813593609999999,0.628307737,0.91622027,0.7336251890000001,0.815657937,0.7697526259999999,0.772264003,0.802250562,1.0,0.569061212,0.714461221,0.545265995,0.08377973,0.37169226299999997,0.7133403770000001,7.4995197110000005,0.405680026,0.09939759036144578,664,0.09668508287292818,724,0.14243759177679882,681,0.06058221872541306,1271,0.1318181818181818,220,0.08530318602261049,1946,0.1415929203539823,1356,0.1163003663003663,1092,0.24743443557582667,1754
IGRP_WF_2_Kf_tp8,5888,457,13544,7981,0.697237173,0.927974783,0.42454394700000003,0.9673594740000001,0.582566538,0.750082805,0.650346159,0.695951711,0.8029378290000001,0.92,0.467297829,0.6030032160000001,0.392908221,0.032640526,0.575456053,0.629221835,13.00665164,0.5948730210000001,0.0286144578313253,664,0.04419889502762431,724,0.055800293685756244,681,0.00865460267505901,1271,0.05454545454545454,220,0.041109969167523124,1946,0.0715339233038348,1356,0.08424908424908426,1092,0.153363740022805,1754
IGRP_WF_3_Kf_tp8,7509,1326,12675,6360,0.724219591,0.84991511,0.541423318,0.9052924790000001,0.661469345,0.7629701879999999,0.705253192,0.723357899,0.806458552,1.0,0.480013769,0.6706560220000001,0.447481443,0.094707521,0.458576682,0.665878645,5.716793271,0.506550858,0.0963855421686747,664,0.10773480662983426,724,0.14390602055800295,681,0.05428796223446106,1271,0.13636363636363635,220,0.09249743062692703,1946,0.12168141592920353,1356,0.12179487179487179,1092,0.25655644241733183,1754
IGRP_WF_4_Kf_tp8,8429,788,13213,5440,0.776533907,0.914505804,0.60775831,0.943718306,0.7302261109999999,0.830656128,0.773890625,0.775738308,0.80233554,0.92,0.586084269,0.647496886,0.552349977,0.05628169400000001,0.39224169,0.708357905,10.79850774,0.415634292,0.05421686746987952,664,0.06077348066298342,724,0.10719530102790015,681,0.040912667191188044,1271,0.08181818181818182,220,0.06423432682425488,1946,0.1224188790560472,1356,0.09065934065934066,1092,0.2314709236031927,1754
IGRP_WF_5_Kf_tp8,7795,1232,12769,6074,0.7378543240000001,0.8635205490000001,0.562044848,0.912006285,0.6809049620000001,0.779858735,0.7237616659999999,0.737025567,0.805475371,1.0,0.506501278,0.654474961,0.47483259,0.087993715,0.437955152,0.6776521790000001,6.38732948,0.480210673,0.0963855421686747,664,0.09668508287292818,724,0.13362701908957417,681,0.0967741935483871,1271,0.13636363636363635,220,0.07862281603288798,1946,0.11578171091445427,1356,0.11996336996336997,1092,0.23831242873432154,1754
IGRP_WF_6_Kf_tp8,6928,432,13569,6941,0.735450305,0.941304348,0.49953132899999997,0.969145061,0.652692072,0.7998337529999999,0.713988317,0.734338195,0.8109334420000001,1.0,0.531561405,0.598555139,0.46971556600000003,0.030854938999999998,0.500468671,0.6615797170000001,16.18967161,0.51640223,0.03765060240963856,664,0.052486187845303865,724,0.09838472834067548,681,0.007081038552321007,1271,0.06818181818181818,220,0.05344295991778006,1946,0.009587020648967551,1356,0.08791208791208792,1092,0.21892816419612315,1754
IGRP_WF_7_Kf_tp8,8144,1331,12670,5725,0.746824543,0.8595250659999999,0.587208883,0.904935362,0.6977381770000001,0.786571114,0.7365576420000001,0.7460721220000001,0.801134272,1.0,0.519463464,0.65929729,0.492880352,0.095064638,0.41279111700000004,0.688774123,6.17694333,0.45615536100000004,0.09337349397590361,664,0.0925414364640884,724,0.14684287812041116,681,0.05192761605035405,1271,0.13636363636363635,220,0.0868448098663926,1946,0.11135693215339233,1356,0.12912087912087913,1092,0.26567844925883694,1754
IGRP_WF_8_Kf_tp8,5661,324,13677,8208,0.69386437,0.9458646620000001,0.40817650899999997,0.9768587959999999,0.570262919,0.748631279,0.641601045,0.692517652,0.7953078029999999,0.84,0.468810469,0.633669223,0.386069856,0.023141204,0.591823491,0.624948595,17.63851636,0.605843438,0.03463855421686747,664,0.031767955801104975,724,0.0881057268722467,681,0.0055074744295830055,1271,0.02727272727272727,220,0.046762589928057555,1946,0.07079646017699115,1356,0.07967032967032966,1092,0.20296465222348917,1754
IGRP_WF_9_Kf_tp8,8803,1559,12442,5066,0.7622892,0.84954642,0.634724926,0.888650811,0.726589905,0.795686679,0.75727858,0.761687868,0.799956295,0.84,0.541471527,0.70084857,0.524000344,0.111349189,0.365275074,0.710646562,5.700310257000001,0.41104455100000004,0.11144578313253012,664,0.10220994475138122,724,0.15565345080763582,681,0.07789142407553108,1271,0.1318181818181818,220,0.08530318602261049,1946,0.16002949852507375,1356,0.13003663003663005,1092,0.25997719498289623,1754
IGRP_WF_10_Kf_tp8,7973,775,13226,5896,0.76063868,0.911408322,0.574879227,0.9446468109999999,0.7050448779999999,0.81588588,0.752769186,0.7597630190000001,0.798811444,0.92,0.55974262,0.642356545,0.5204318920000001,0.055353189000000004,0.42512077299999995,0.691664052,10.38565685,0.450031449,0.0572289156626506,664,0.062154696132596686,724,0.10572687224669604,681,0.13532651455546812,1271,0.08181818181818182,220,0.06063720452209661,1946,0.12831858407079647,1356,0.08791208791208792,1092,0.21835803876852908,1754
IGRP_WF_11_Kf_tp8,7316,1205,12796,6553,0.721636168,0.858584673,0.527507391,0.913934719,0.653506029,0.7628302709999999,0.700345003,0.720721055,0.7914462179999999,0.96,0.479072581,0.659534489,0.44224599700000006,0.086065281,0.472492609,0.661326167,6.129154337,0.516987264,0.08734939759036145,664,0.08287292817679558,724,0.13509544787077826,681,0.041699449252557044,1271,0.12272727272727273,220,0.09712230215827339,1946,0.11356932153392331,1356,0.10989010989010989,1092,0.24686431014823262,1754
