model name,mean_F1,F1_std_dev,mean_F0.75,F0.75_std_dev,mean_F0.5,F0.5_std_dev
IGRP_WF_4_Kf_tp8,0.7221762305999999,0.02869346966142472,0.7597176062,0.017262375474943092,0.8085449512,0.015794301296748844
IGRP_WF_60_Mc_tp8,0.7165685151999999,0.03951842329924551,0.7559738901999999,0.022651429096833285,0.8080576566,0.011202551248505667
IGRP_WF_52_Mc_tp8,0.7205773520000001,0.038576693763841347,0.757202299,0.02559174383948993,0.805057644,0.018954459911974666
IGRP_WF_10_Kf_tp8,0.7205540342000001,0.021483775975295924,0.757029404,0.009916650529346614,0.8042369604000001,0.015188198293387025
IGRP_WF_76_Mc_tp8,0.7010462019999999,0.036032961976007145,0.744690665,0.020168842449783314,0.8030016632000001,0.010467554894311804
IGRP_WF_42_Mc_tp8,0.7103885705999999,0.05186242957585498,0.7487977168000001,0.036093911145709104,0.7996630660000001,0.017925719030354996
IGRP_WF_93_Mc_tp8,0.6957117744,0.045006503138527276,0.7383083388,0.02511438220408961,0.7958150577999998,0.010407738120814997
IGRP_WF_44_Mc_tp8,0.7037832908,0.047312180256638935,0.7425320358,0.029960002579334875,0.7939941846,0.012943699884239789
IGRP_WF_58_Mc_tp8,0.696823483,0.058516363378562045,0.7379427562,0.040099637149937514,0.7931999362,0.0143174311508691
IGRP_WF_61_Mc_tp8,0.715326426,0.044338332543704506,0.7485267398,0.026469090833710084,0.7921587174,0.01721877189937258
IGRP_WF_53_Mc_tp8,0.7073449505999999,0.03988530132082522,0.742287645,0.02129436047797518,0.7885471946,0.019283156268696214
IGRP_WF_26_Kf_tp8,0.6835955215999999,0.050517186086535805,0.7281821826000001,0.03596907020642356,0.7881690084,0.01585815060577131
IGRP_WF_77_Mc_tp8,0.6881794176,0.05563434732937166,0.7305876121999999,0.035662791345010346,0.7881000284,0.009586496219202094
IGRP_WF_45_Mc_tp8,0.7177260233999999,0.031855106464450056,0.7482535494,0.01497936280202749,0.7878990106000001,0.019095595574102522
IGRP_WF_84_Mc_tp8,0.6688534064,0.0663596818622878,0.7180643488000001,0.04816334370076773,0.786204223,0.018596287072245525
IGRP_WF_57_Mc_tp8,0.7009918930000001,0.04611000572168089,0.7371786701999999,0.029603816211560968,0.7849100498,0.015590650315176422
IGRP_WF_74_Mc_tp8,0.6747729756,0.03147054757307794,0.7215627658,0.017437866944573065,0.7847372342,0.008325694452148591
IGRP_WF_15_Kf_tp8,0.7015523725999999,0.04566005723312568,0.737223187,0.028121079991638535,0.7843376554,0.01482086269890137
IGRP_WF_89_Mc_tp8,0.7161915414,0.035232204415497785,0.7459387418,0.02318165410590116,0.7841130342,0.019208041223771406
IGRP_WF_90_Mc_tp8,0.6556746128000001,0.05504483030067391,0.7088711089999999,0.040397477206822935,0.7831455466,0.01938612239371686
IGRP_WF_28_Kf_tp8,0.6796276646,0.028304023411668797,0.7233277782,0.014936898750298428,0.7815793904,0.00682323970567061
IGRP_WF_81_Mc_tp8,0.6960030284000001,0.04253077520145102,0.7317584604,0.025639946565899074,0.7790599108,0.016895768687471856
IGRP_WF_47_Mc_tp8,0.7114782317999999,0.04101353592104859,0.7405638652000001,0.023714262826608674,0.7783835982,0.016955579336329737
IGRP_WF_59_Mc_tp8,0.7076907152,0.03829474241122683,0.7375794302,0.021685111602390117,0.7762593058,0.012452953574175836
