model name,mean_F1,F1_std_dev,mean_F0.75,F0.75_std_dev,mean_F0.5,F0.5_std_dev
IGRP_WF_6_Kf_tp14,0.682210985,0.05850940007521173,0.7328487768,0.04051122171139854,0.8029608952,0.017409553668529004
IGRP_WF_60_Mc_tp14,0.6866309079999999,0.050545226617439085,0.7322360766000001,0.03249299263607859,0.7941027869999999,0.007447928687323168
IGRP_WF_44_Mc_tp14,0.6947439794000001,0.05642261643266556,0.7358558293999999,0.03869544112657426,0.7910734204000001,0.01513549217864438
IGRP_WF_36_Mc_tp14,0.6863588006,0.05359700156495297,0.7307389044000001,0.035120813321489586,0.7909614154,0.011507149676955486
IGRP_WF_42_Mc_tp14,0.6847253390000001,0.061855135449408086,0.7295907568000001,0.04350157881108252,0.790707611,0.01774142993657746
IGRP_WF_4_Kf_tp14,0.6892080341999999,0.04786615544935244,0.7322891092,0.030235077583590526,0.7902591132,0.010800708485807347
IGRP_WF_38_Mc_tp14,0.6670506092,0.06178794306651541,0.7173052629999999,0.04254036811137727,0.78722051,0.013325833542920832
IGRP_WF_50_Mc_tp14,0.6651859034,0.06518271577850622,0.7160891402,0.04622077367185418,0.7870314718,0.01630353799963506
IGRP_WF_87_Mc_tp14,0.6853456146,0.06951422657304036,0.7279792348,0.04694315325070908,0.7866701532,0.01691278760199928
IGRP_WF_52_Mc_tp14,0.6851731204000001,0.041157098173090156,0.7283885864,0.024396859631363416,0.7863578966,0.005856289048306833
IGRP_WF_56_Mc_tp14,0.6718250747999999,0.04205990724440505,0.7199470046,0.02498084184425367,0.7856686925999999,0.009415836322333292
IGRP_WF_57_Mc_tp14,0.7054861476000001,0.03610918642747039,0.7393338236,0.018089432035309033,0.783726901,0.015354214457209267
IGRP_WF_20_Kf_tp14,0.687718604,0.061495721262230615,0.7283293244,0.04232993168628881,0.7833754940000001,0.017576602347515183
IGRP_WF_64_Mc_tp14,0.6810035568,0.04026060676728438,0.7244496966,0.020285901251105416,0.7833312450000001,0.012197007854228012
IGRP_WF_48_Mc_tp14,0.6787242248,0.042118211893316874,0.722693861,0.024444913634910238,0.7819983876000001,0.006485963426403124
IGRP_WF_8_Kf_tp14,0.6631916394000001,0.05075844712329225,0.7126563686,0.03359027220518483,0.7807066188000001,0.010742087166545495
IGRP_WF_61_Mc_tp14,0.6938189151999999,0.039632224400652505,0.7307947134,0.02220007361037375,0.7795795766,0.010012107635794324
IGRP_WF_49_Mc_tp14,0.7007090098000001,0.043311579343514525,0.7348179604,0.025927976205653604,0.779538921,0.010146406174162187
IGRP_WF_31_Kf_tp14,0.7005635917999999,0.05358702154999972,0.7343065996,0.029688005320173804,0.7794958918,0.007125936691078173
IGRP_WF_45_Mc_tp14,0.7004396032,0.047435322100101596,0.734174824,0.027958320640313047,0.7789286318,0.01681671900940907
IGRP_WF_91_Mc_tp14,0.7074994635999999,0.03952777700793255,0.7383495908,0.021702693320724966,0.7788367681999999,0.019596531073340053
IGRP_WF_84_Mc_tp14,0.6586103064000001,0.053248327027422646,0.7088973498,0.036679030536482395,0.778653625,0.016562337446626784
IGRP_WF_68_Mc_tp14,0.6617913099999999,0.065420910675671,0.7106990374000001,0.04668220108628504,0.7786063038,0.018046134177987918
IGRP_WF_40_Mc_tp14,0.6695717095999999,0.028742452140659222,0.71490554,0.01417587682293406,0.7759185664,0.009426250588964088
