model name,TP,FP,TN,FN,accuracy,precision,recall,specificity,F1 score,F0.5 score,F0.75 score,b accuracy,AUC value inf,AUC value trn,mcc,log loss,kappa,fall out,miss rate,NPV,lr plus,lr minus,t50_bld_igg,nseq_bld_igg,t50_bld_pd1,nseq_bld_pd1,t50_bld_spt,nseq_bld_spt,t50_pln_igg,nseq_pln_igg,t50_pln_pd1,nseq_pln_pd1,t50_pln_spt,nseq_pln_spt,t50_panc_igg,nseq_panc_igg,t50_panc_pd1,nseq_panc_pd1,t50_panc_spt,nseq_panc_spt
IGRP_WF_1_Kf_tp14,9639,3146,10855,4230,0.735342662,0.753930387,0.695003245,0.7753017640000001,0.7232685529999999,0.741358889,0.7315995759999999,0.7351525040000001,0.8007721520000001,1,0.471909459,0.63021133,0.47047835299999996,0.22469823600000002,0.304996755,0.7195889959999999,3.09305163,0.393391025,0.25150602409638556,664,0.18232044198895028,724,0.28193832599118945,681,0.2926829268292683,1271,0.24545454545454545,220,0.2132579650565262,1946,0.4166666666666667,1356,0.1749084249084249,1092,0.35860889395667045,1754
IGRP_WF_2_Kf_tp14,7986,1293,12708,5883,0.742518837,0.860653088,0.575816569,0.9076494540000001,0.6899948159999999,0.783171521,0.730556013,0.7417330109999999,0.803411957,1,0.512939445,0.5969151999999999,0.484221457,0.09235054599999999,0.424183431,0.68355656,6.235118165,0.467342793,0.09036144578313253,664,0.08425414364640885,724,0.12187958883994127,681,0.1982690794649882,1271,0.10454545454545454,220,0.07348406988694758,1946,0.1504424778761062,1356,0.09340659340659341,1092,0.18928164196123148,1754
IGRP_WF_3_Kf_tp14,9580,3020,10981,4289,0.737746681,0.76031746,0.690749153,0.7843011209999999,0.723865654,0.74530489,0.7337150490000001,0.737525137,0.800671395,1,0.477240051,0.6778038040000001,0.475255262,0.21569887899999998,0.309250847,0.7191224620000001,3.202377115,0.394301167,0.26506024096385544,664,0.19060773480662985,724,0.2790014684287812,681,0.3092053501180173,1271,0.23636363636363636,220,0.20246659815005139,1946,0.42920353982300885,1356,0.16575091575091574,1092,0.3483466362599772,1754
IGRP_WF_4_Kf_tp14,9290,2157,11844,4579,0.758306423,0.811566349,0.66983921,0.8459395759999999,0.7339232109999999,0.778617765,0.75412455,0.757889393,0.814880053,1,0.5241957420000001,0.604543119,0.516203733,0.154060424,0.33016079,0.7211837059999999,4.347899293,0.39028885700000004,0.15210843373493976,664,0.13121546961325967,724,0.2173274596182085,681,0.23918174665617625,1271,0.1590909090909091,220,0.14439876670092497,1946,0.18952802359882007,1356,0.13186813186813187,1092,0.2958950969213227,1754
IGRP_WF_5_Kf_tp14,9606,3030,10971,4263,0.738320775,0.760208927,0.6926238370000001,0.783586887,0.724844369,0.745656933,0.734410407,0.738105362,0.7872370670000001,1,0.478288005,0.633280835,0.476410381,0.21641311300000002,0.307376163,0.7201654190000001,3.200470741,0.39226813,0.2575301204819277,664,0.20027624309392264,724,0.2834067547723935,681,0.3021243115656963,1271,0.24545454545454545,220,0.2276464542651593,1946,0.41887905604719766,1356,0.17399267399267399,1092,0.4224629418472064,1754
IGRP_WF_6_Kf_tp14,9124,1798,12203,4745,0.765231432,0.835378136,0.65787007,0.8715806009999999,0.736073575,0.7926055909999999,0.7614170840000001,0.7647253359999999,0.803977996,1,0.5422721389999999,0.570230185,0.529981532,0.12841939900000002,0.34212993,0.720025962,5.122824721000001,0.39253963399999997,0.18825301204819278,664,0.13397790055248618,724,0.18795888399412627,681,0.23682140047206923,1271,0.17727272727272728,220,0.10431654676258993,1946,0.3495575221238938,1356,0.1401098901098901,1092,0.27309007981755984,1754
IGRP_WF_7_Kf_tp14,10001,3495,10506,3868,0.735809114,0.741034381,0.721104622,0.750374973,0.7309336740000001,0.736960783,0.73373401,0.735739798,0.789603829,1,0.471708442,0.691548796,0.471539376,0.249625027,0.278895378,0.7309030190000001,2.888751305,0.37167468,0.29518072289156627,664,0.22099447513812154,724,0.33627019089574156,681,0.31943351691581434,1271,0.2636363636363636,220,0.1998972250770812,1946,0.441740412979351,1356,0.1813186813186813,1092,0.4492588369441277,1754
IGRP_WF_8_Kf_tp14,9379,1864,12137,4490,0.7720129170000001,0.834207952,0.676256399,0.866866652,0.746973558,0.796978298,0.769504675,0.7715615259999999,0.8007202459999999,1,0.553544174,0.5988658579999999,0.543608251,0.133133348,0.323743601,0.729957298,5.079541762,0.37346413100000003,0.1430722891566265,664,0.12569060773480664,724,0.2055800293685756,681,0.21243115656963021,1271,0.19545454545454546,220,0.12127440904419322,1946,0.19321533923303835,1356,0.12912087912087913,1092,0.3033067274800456,1754
IGRP_WF_9_Kf_tp14,9714,2643,11358,4155,0.756081808,0.786113134,0.7004109890000001,0.811227769,0.740791581,0.767334945,0.75294621,0.7558193790000001,0.795473835,1,0.514945323,0.660362924,0.5119018320000001,0.188772231,0.299589011,0.7321601240000001,3.710349697,0.3693032,0.24096385542168675,664,0.1850828729281768,724,0.28193832599118945,681,0.1888276947285602,1271,0.21818181818181817,220,0.1670092497430627,1946,0.40412979351032446,1356,0.15384615384615385,1092,0.35689851767388825,1754
IGRP_WF_10_Kf_tp14,9325,2392,11609,4544,0.751130248,0.795852181,0.672362824,0.82915506,0.72891425,0.7676539840000001,0.746494478,0.750758942,0.807770841,1,0.507988306,0.6115244879999999,0.501884985,0.17084494,0.32763717600000003,0.7186900270000001,3.935515005,0.39514584399999997,0.20933734939759036,664,0.1408839779005525,724,0.2393538913362702,681,0.24704956726986624,1271,0.18181818181818182,220,0.16135662898252826,1946,0.36283185840707965,1356,0.1336996336996337,1092,0.3825541619156214,1754
